Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
user_entry;../elf/dl-sysdep.c;89;0.7105238437652588;0-40;Zero bit-flip
retval;strtod_l.c;497;3.586427688598633;0-40;Zero bit-flip
f;vfscanf.c;216;0.4032745361328125;0-40;Zero bit-flip
tw;vfscanf.c;271;10.039150714874268;0-40;Zero bit-flip
width;vfscanf.c;221;2.10089373588562;0-40;Zero bit-flip
f;vfscanf.c;216;4.509580850601196;0-40;Zero bit-flip
f;vfscanf.c;216;9.270607948303223;0-40;Zero bit-flip
f;vfscanf.c;216;3.0060501098632812;0-40;Zero bit-flip
f;vfscanf.c;216;2.738490581512451;0-40;Zero bit-flip
start_of_digits;strtod_l.c;504;23.652486324310303;0-40;Zero bit-flip
width;vfscanf.c;221;1.4432055950164795;0-40;Zero bit-flip
width;vfscanf.c;221;16.542691230773926;0-40;Zero bit-flip
arg;vfscanf.c;215;6.875903367996216;0-40;Zero bit-flip
arg;vfscanf.c;215;5.049731969833374;0-40;Zero bit-flip
not_in;vfscanf.c;234;11.045466899871826;0-40;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1549;11.001422882080078;0-40;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1549;8.731765985488892;0-40;Zero bit-flip
f;vfscanf.c;216;21.119694471359253;0-40;Zero bit-flip
f;vfscanf.c;216;24.08235263824463;0-40;Zero bit-flip
not_in;vfscanf.c;234;9.205642461776733;0-40;Zero bit-flip
f;vfscanf.c;216;14.754004955291748;0-40;Zero bit-flip
arg;vfscanf.c;215;26.06207036972046;0-40;Zero bit-flip
f;vfscanf.c;216;8.456499338150024;0-40;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1598;19.653560400009155;0-40;Zero bit-flip
width;vfscanf.c;221;4.987403392791748;0-40;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1549;6.132347583770752;0-40;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1549;14.600032806396484;0-40;Zero bit-flip
arg;vfscanf.c;215;5.787703990936279;0-40;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1549;6.602249622344971;0-40;Zero bit-flip
_IO_file_jumps;fileops.c;1572;10.10025405883789;0-40;Zero bit-flip
tw;vfscanf.c;271;4.978781700134277;0-40;Zero bit-flip
_IO_file_jumps;fileops.c;1572;21.452309131622314;0-40;Zero bit-flip
width;vfscanf.c;221;8.91978645324707;0-40;Zero bit-flip
start_of_digits;strtod_l.c;504;6.492370367050171;0-40;Zero bit-flip
f;vfscanf.c;216;27.756425619125366;0-40;Zero bit-flip
f;vfscanf.c;216;4.2132039070129395;0-40;Zero bit-flip
f;vfscanf.c;216;13.823591709136963;0-40;Zero bit-flip
numsize;strtod_l.c;485;8.407255411148071;0-40;Zero bit-flip
f;vfscanf.c;216;18.119554042816162;0-40;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1549;20.079692363739014;0-40;Zero bit-flip
exponent;strtod_l.c;338;11.998128175735474;0-40;Zero bit-flip
retval;strtod_l.c;497;8.614737033843994;0-40;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1549;18.89329433441162;0-40;Zero bit-flip
f;vfscanf.c;216;8.46474289894104;0-40;Zero bit-flip
arg;vfscanf.c;215;18.704276084899902;0-40;Zero bit-flip
exponent;strtod_l.c;338;4.946040868759155;0-40;Zero bit-flip
start_of_digits;strtod_l.c;504;8.716917514801025;0-40;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1549;2.4320273399353027;0-40;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1549;34.07063579559326;0-40;Zero bit-flip
decimal_len;strtod_l.c;522;8.51328158378601;0-40;Zero bit-flip
f;vfscanf.c;216;4.25626540184021;0-40;Zero bit-flip
curnumeric;vfscanf.c;327;12.75066590309143;0-40;Zero bit-flip
decimal_len;strtod_l.c;522;3.107222080230713;0-40;Zero bit-flip
_IO_file_jumps;fileops.c;1572;9.796752214431763;0-40;Zero bit-flip
_IO_file_jumps;fileops.c;1572;33.32762265205383;0-40;Zero bit-flip
not_in;vfscanf.c;234;12.778277397155762;0-40;Zero bit-flip
width;vfscanf.c;221;34.0240044593811;0-40;Zero bit-flip
f;vfscanf.c;216;20.02627420425415;0-40;Zero bit-flip
f;vfscanf.c;216;25.235437631607056;0-40;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1549;14.579431533813477;0-40;Zero bit-flip
loc;strtod_l.c;482;8.39450454711914;0-40;Zero bit-flip
f;vfscanf.c;216;7.590157985687256;0-40;Zero bit-flip
arg;isoc99_fscanf.c;27;8.722453594207764;0-40;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1598;14.843077898025513;0-40;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1598;4.32506537437439;0-40;Zero bit-flip
loc;strtod_l.c;482;4.288130521774292;0-40;Zero bit-flip
exponent;strtod_l.c;338;27.433345794677734;0-40;Zero bit-flip
den;strtod_l.c;494;5.947527647018433;0-40;Zero bit-flip
