Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
atfork_mem;arena.c;142;1.3798482418060303;0-40;Zero bit-flip
narenas;arena.c;79;6.331947326660156;0-40;Zero bit-flip
check_action;malloc.c;1854;4.991180181503296;0-40;Zero bit-flip
save_free_hook;arena.c;138;9.560105085372925;0-40;Zero bit-flip
bytes;malloc.c;3303;8.319195985794067;0-40;Zero bit-flip
atfork_recursive_cntr;arena.c;212;7.264032602310181;0-40;Zero bit-flip
atfork_mem;arena.c;142;14.963962316513062;0-40;Zero bit-flip
__malloc_initialize_hook;malloc.c;1831;2.2959840297698975;0-40;Zero bit-flip
perturb_byte;malloc.c;1859;4.960914134979248;0-40;Zero bit-flip
__realloc_hook;malloc.c;1836;4.003025770187378;0-40;Zero bit-flip
aligned_heap_area;arena.c;519;25.609054803848267;0-40;Zero bit-flip
__after_morecore_hook;malloc.c;1842;13.36904239654541;0-40;Zero bit-flip
using_malloc_checking;hooks.c;53;2.7677719593048096;0-40;Zero bit-flip
mp_;malloc.c;1751;4.7704339027404785;0-40;Zero bit-flip
__morecore;malloc.c;404;5.034076690673828;0-40;Zero bit-flip
aligned_heap_area;arena.c;519;14.25293755531311;0-40;Single bit-flip
list_all_lock;genops.c;38;15.01816463470459;0-40;Single bit-flip
using_malloc_checking;hooks.c;53;28.965511322021484;0-40;Single bit-flip
check_action;malloc.c;1854;9.022302150726318;0-40;Single bit-flip
__malloc_initialize_hook;malloc.c;1831;6.4325971603393555;0-40;Single bit-flip
save_free_hook;arena.c;138;12.426661491394043;0-40;Single bit-flip
__malloc_initialize_hook;malloc.c;1831;4.083145380020142;0-40;Single bit-flip
__memalign_hook;malloc.c;1839;1.6299264430999756;0-40;Single bit-flip
using_malloc_checking;hooks.c;53;5.994736194610596;0-40;Single bit-flip
using_malloc_checking;hooks.c;53;4.356084585189819;0-40;Single bit-flip
__memalign_hook;malloc.c;1839;16.67910146713257;0-40;Single bit-flip
disallow_malloc_check;hooks.c;68;3.9077024459838867;0-40;Single bit-flip
disallow_malloc_check;hooks.c;68;1.1710565090179443;0-40;Single bit-flip
__func__;malloc.c;0;3.018540859222412;0-40;Single bit-flip
narenas;arena.c;79;5.49012017250061;0-40;Single bit-flip
list_all_lock;genops.c;38;1.0082685947418213;0-40;Double bit-flip
__malloc_initialize_hook;malloc.c;1831;30.03304624557495;0-40;Double bit-flip
list_all_lock;genops.c;38;2.4157652854919434;0-40;Double bit-flip
__after_morecore_hook;malloc.c;1842;36.71067404747009;0-40;Double bit-flip
free_list;arena.c;80;2.48752760887146;0-40;Double bit-flip
