Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
negative;vfscanf.c;232;11.341434955596924;0-40;Zero bit-flip;1
decimal_len;strtod_l.c;522;9.471948385238647;0-40;Zero bit-flip;1
width;vfscanf.c;221;12.468602418899536;0-40;Zero bit-flip;1
tw;vfscanf.c;271;18.215142011642456;0-40;Zero bit-flip;1
tw;vfscanf.c;271;31.442569255828857;0-40;Single bit-flip;1
tw;vfscanf.c;271;11.363539695739746;0-40;Single bit-flip;1
decimal_len;strtod_l.c;522;19.53934073448181;0-40;Single bit-flip;1
exponent;strtod_l.c;486;17.22319459915161;0-40;Double bit-flip;1
exponent;strtod_l.c;486;17.182978630065918;0-40;Double bit-flip;1
start_of_digits;strtod_l.c;504;11.168128728866577;0-40;Double bit-flip;1
exponent;strtod_l.c;486;9.829371452331543;0-40;Double bit-flip;1
arg;vfscanf.c;215;18.509058952331543;0-40;Double bit-flip;1
exponent;strtod_l.c;486;16.95048213005066;0-40;Double bit-flip;1
arg;vfscanf.c;215;11.468692064285278;0-40;LSB bit-flip;1
arg;vfscanf.c;215;11.25122618675232;0-40;LSB bit-flip;1
tw;vfscanf.c;271;17.71028423309326;0-40;LSB bit-flip;1
exponent;strtod_l.c;486;12.046119928359985;0-40;LSB bit-flip;1
startp;strtod_l.c;504;20.00938606262207;0-40;LSB bit-flip;1
arg;vfscanf.c;215;16.677427291870117;0-40;LSB bit-flip;1
arg;vfscanf.c;215;10.450611352920532;0-40;LSB bit-flip;1
arg;vfscanf.c;215;19.575048446655273;0-40;LSB bit-flip;1
flags;vfscanf.c;222;15.578866243362427;0-40;Random bit-flip;1
arg;vfscanf.c;215;20.01294183731079;0-40;Random bit-flip;1
negative;strtod_l.c;484;12.719594240188599;0-40;Random bit-flip;1
start_of_digits;strtod_l.c;504;11.591366529464722;0-40;Random bit-flip;1
bits;strtod_l.c;499;32.355663537979126;0-40;Random bit-flip;1
arg;vfscanf.c;215;17.93290686607361;0-40;Random bit-flip;1
retval;strtod_l.c;497;14.46415901184082;0-40;Random bit-flip;1
flags;vfscanf.c;222;10.505330801010132;0-40;Random bit-flip;1
arg;vfscanf.c;215;17.107374906539917;0-40;Random bit-flip;1
arg;vfscanf.c;215;17.637999057769775;0-40;Random bit-flip;1
flags;vfscanf.c;222;14.366809368133545;0-40;Random bit-flip;1
