Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__res;strtod_l.c;867;7.908527135848999;0-25;Random bit-flip
use_malloc;vfscanf.c;275;2.575091600418091;0-25;Random bit-flip
arg;vfscanf.c;215;5.523061990737915;0-25;Random bit-flip
f;vfscanf.c;216;5.91724157333374;0-25;Random bit-flip
not_in;vfscanf.c;234;5.398211479187012;0-25;Random bit-flip
use_malloc;vfscanf.c;275;2.5078797340393066;0-25;Random bit-flip
use_malloc;vfscanf.c;275;1.6849207878112793;0-25;Random bit-flip
thousands;vfscanf.c;248;3.5527615547180176;0-25;Random bit-flip
use_malloc;vfscanf.c;275;6.115736484527588;0-25;Random bit-flip
ln_two1;../sysdeps/ieee754/dbl-64/uexp.h;57;2.20432186126709;0-25;Random bit-flip
f;vfscanf.c;216;1.1768994331359863;0-25;Random bit-flip
not_in;vfscanf.c;234;1.1166396141052246;0-25;Random bit-flip
use_malloc;vfscanf.c;275;5.264141798019409;0-25;Random bit-flip
f;vfscanf.c;216;0.3290259838104248;0-25;Random bit-flip
strptr;vfscanf.c;264;8.29054045677185;0-25;Random bit-flip
not_in;vfscanf.c;234;5.040628910064697;0-25;Random bit-flip
use_malloc;vfscanf.c;275;7.934786796569824;0-25;Random bit-flip
f;vfscanf.c;216;0.8436179161071777;0-25;Random bit-flip
use_malloc;vfscanf.c;275;8.553335666656494;0-25;Random bit-flip
got_e;vfscanf.c;232;2.3825058937072754;0-25;Random bit-flip
use_malloc;vfscanf.c;275;17.617178201675415;0-25;Random bit-flip
endptr;strtod_l.c;480;0.9453554153442383;0-25;Random bit-flip
start_of_digits;strtod_l.c;504;4.303228139877319;0-25;Random bit-flip
f;vfscanf.c;216;10.281676292419434;0-25;Random bit-flip
got_e;vfscanf.c;232;23.900258779525757;0-25;Random bit-flip
not_in;vfscanf.c;234;1.0843815803527832;0-25;Random bit-flip
strptr;vfscanf.c;264;1.7147753238677979;0-25;Random bit-flip
up;mul.c;47;9.401429176330566;0-25;Random bit-flip
use_malloc;vfscanf.c;275;14.204136610031128;0-25;Random bit-flip
use_malloc;vfscanf.c;275;7.515440225601196;0-25;Random bit-flip
exponent;strtod_l.c;338;4.468636751174927;0-25;Random bit-flip
f;vfscanf.c;216;11.964435577392578;0-25;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1574;14.78953766822815;0-25;Random bit-flip
start_of_digits;strtod_l.c;504;10.143889427185059;0-25;Random bit-flip
not_in;vfscanf.c;234;17.41327214241028;0-25;Random bit-flip
endptr;strtod_l.c;480;9.852978706359863;0-25;Random bit-flip
thousands;strtod_l.c;528;3.580500602722168;0-25;Random bit-flip
not_in;vfscanf.c;234;8.1670823097229;0-25;Random bit-flip
arg;vfscanf.c;215;8.406580924987793;0-25;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1598;2.268418312072754;0-25;Random bit-flip
strptr;vfscanf.c;264;2.167008638381958;0-25;Random bit-flip
__GI__IO_file_jumps;fileops.c;1549;8.17370319366455;0-25;Random bit-flip
start_of_digits;strtod_l.c;504;2.120856523513794;0-25;Random bit-flip
f;vfscanf.c;216;10.17117190361023;0-25;Random bit-flip
f;vfscanf.c;216;7.903119325637817;0-25;Random bit-flip
thousands;strtod_l.c;528;2.1327078342437744;0-25;Random bit-flip
got_e;vfscanf.c;232;5.090664386749268;0-25;Random bit-flip
f;vfscanf.c;216;10.412655591964722;0-25;Random bit-flip
decimal_len;strtod_l.c;522;1.4613564014434814;0-25;Random bit-flip
use_malloc;vfscanf.c;275;11.476524353027344;0-25;Random bit-flip
f;vfscanf.c;216;8.117141723632812;0-25;Random bit-flip
arg;vfscanf.c;215;1.2267944812774658;0-25;Random bit-flip
use_malloc;vfscanf.c;275;3.2630321979522705;0-25;Random bit-flip
decimal_len;strtod_l.c;522;6.236701965332031;0-25;Random bit-flip
f;vfscanf.c;216;5.137552261352539;0-25;Random bit-flip
ln_two1;../sysdeps/ieee754/dbl-64/uexp.h;57;2.2991526126861572;0-25;Random bit-flip
f;vfscanf.c;216;3.960749387741089;0-25;Random bit-flip
use_malloc;vfscanf.c;275;5.68411922454834;0-25;Random bit-flip
f;vfscanf.c;216;13.312513828277588;0-25;Random bit-flip
use_malloc;vfscanf.c;275;13.953730344772339;0-25;Random bit-flip
f;vfscanf.c;216;8.138078689575195;0-25;Random bit-flip
_dl_argv_internal;rtld.c;87;0.4769759178161621;0-25;Random bit-flip
f;vfscanf.c;216;7.062373399734497;0-25;Random bit-flip
__GI__IO_file_jumps;fileops.c;1549;9.191856861114502;0-25;Random bit-flip
exponent;strtod_l.c;338;1.8076319694519043;0-25;Random bit-flip
arg;vfscanf.c;215;11.123685359954834;0-25;Random bit-flip
f;vfscanf.c;216;1.1272997856140137;0-25;Random bit-flip
endptr;strtod_l.c;480;3.4343149662017822;0-25;Random bit-flip
exponent;strtod_l.c;338;4.5125322341918945;0-25;Random bit-flip
not_in;vfscanf.c;234;3.681331157684326;0-25;Random bit-flip
f;vfscanf.c;216;12.598121643066406;0-25;Random bit-flip
use_malloc;vfscanf.c;275;3.263420343399048;0-25;Random bit-flip
use_malloc;vfscanf.c;275;11.27856731414795;0-25;Random bit-flip
use_malloc;vfscanf.c;275;2.5575430393218994;0-25;Random bit-flip
_IO_file_jumps;fileops.c;1572;6.724615097045898;0-25;Random bit-flip
use_malloc;vfscanf.c;275;12.069617748260498;0-25;Random bit-flip
flags;vfscanf.c;222;3.09472918510437;0-25;Random bit-flip
exponent;strtod_l.c;486;6.021194696426392;0-25;Random bit-flip
use_malloc;vfscanf.c;275;8.17685055732727;0-25;Random bit-flip
arg;vfscanf.c;215;8.538521766662598;0-25;Random bit-flip
f;vfscanf.c;216;1.606065034866333;0-25;Random bit-flip
f;vfscanf.c;216;7.618781805038452;0-25;Random bit-flip
use_malloc;vfscanf.c;275;0.4222896099090576;0-25;Random bit-flip
thousands;strtod_l.c;340;0.24110746383666992;0-25;Random bit-flip
start_of_digits;strtod_l.c;504;10.179757356643677;0-25;Random bit-flip
use_malloc;vfscanf.c;275;0.6312985420227051;0-25;Random bit-flip
flags;vfscanf.c;222;5.62848162651062;0-25;Random bit-flip
use_malloc;vfscanf.c;275;11.55075192451477;0-25;Random bit-flip
use_malloc;vfscanf.c;275;16.20121932029724;0-25;Random bit-flip
use_malloc;vfscanf.c;275;6.5735766887664795;0-25;Random bit-flip
use_malloc;vfscanf.c;275;4.181703567504883;0-25;Random bit-flip
f;vfscanf.c;216;5.923851490020752;0-25;Random bit-flip
use_malloc;vfscanf.c;275;9.396688222885132;0-25;Random bit-flip
use_malloc;vfscanf.c;275;5.354665040969849;0-25;Random bit-flip
use_malloc;vfscanf.c;275;5.682021141052246;0-25;Random bit-flip
f;vfscanf.c;216;1.3951263427734375;0-25;Random bit-flip
_IO_file_jumps;fileops.c;1572;2.2529072761535645;0-25;Random bit-flip
not_in;vfscanf.c;234;21.41916537284851;0-25;Random bit-flip
decimal_len;strtod_l.c;522;10.970722913742065;0-25;Random bit-flip
exponent;strtod_l.c;338;8.445408821105957;0-25;Random bit-flip
strptr;vfscanf.c;264;5.348976373672485;0-25;Random bit-flip
f;vfscanf.c;216;6.257078409194946;0-25;Random bit-flip
decimal_len;strtod_l.c;522;3.7786407470703125;0-25;Random bit-flip
f;vfscanf.c;216;10.777009963989258;0-25;Random bit-flip
endptr;strtod_l.c;480;18.757563591003418;0-25;Random bit-flip
