Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
tw;vfscanf.c;271;4.279804468154907;0-25;Random bit-flip;1
negative;strtod_l.c;484;3.099618434906006;0-25;Random bit-flip;1
startp;strtod_l.c;504;5.022778272628784;0-25;Random bit-flip;1
exponent;strtod_l.c;486;14.764792442321777;0-25;Random bit-flip;1
tw;vfscanf.c;271;5.375253915786743;0-25;Random bit-flip;1
negative;strtod_l.c;484;2.5929269790649414;0-25;Random bit-flip;1
negative;strtod_l.c;484;6.573026418685913;0-25;Random bit-flip;1
negative;strtod_l.c;484;2.8954992294311523;0-25;Random bit-flip;1
start_of_digits;strtod_l.c;504;13.750217199325562;0-25;Random bit-flip;1
flags;vfscanf.c;222;7.205003976821899;0-25;Random bit-flip;1
exponent;strtod_l.c;486;4.9789674282073975;0-25;Random bit-flip;1
negative;strtod_l.c;484;1.3215787410736084;0-25;Random bit-flip;1
tw;vfscanf.c;271;5.7575297355651855;0-25;Random bit-flip;1
negative;strtod_l.c;484;5.877397775650024;0-25;Random bit-flip;1
tw;vfscanf.c;271;4.235549688339233;0-25;Random bit-flip;1
retval;strtod_l.c;497;6.853177070617676;0-25;Random bit-flip;1
start_of_digits;strtod_l.c;504;13.682353973388672;0-25;Random bit-flip;1
exponent;strtod_l.c;486;3.351732015609741;0-25;Random bit-flip;1
exponent;strtod_l.c;486;6.835428953170776;0-25;Random bit-flip;1
tw;vfscanf.c;271;9.841296434402466;0-25;Random bit-flip;1
negative;strtod_l.c;484;4.794650316238403;0-25;Random bit-flip;1
flags;vfscanf.c;222;9.704867362976074;0-25;Random bit-flip;1
arg;isoc99_fscanf.c;27;1.9204988479614258;0-25;Random bit-flip;0
flags;vfscanf.c;222;1.7671194076538086;0-25;Random bit-flip;0
library_path;rtld.c;892;0.3259871006011963;0-25;Random bit-flip;0
decimal_len;strtod_l.c;522;5.091817140579224;0-25;Zero bit-flip;1
decimal_len;strtod_l.c;522;8.131170511245728;0-25;Zero bit-flip;1
tw;vfscanf.c;271;12.018506526947021;0-25;Zero bit-flip;1
p2;../sysdeps/ieee754/dbl-64/uexp.h;61;16.12173891067505;0-25;Zero bit-flip;1
numsize;strtod_l.c;485;5.483909845352173;0-25;Zero bit-flip;1
tw;vfscanf.c;271;2.2608370780944824;0-25;Zero bit-flip;1
decimal_len;strtod_l.c;522;12.602223873138428;0-25;Zero bit-flip;1
tw;vfscanf.c;271;12.918621063232422;0-25;Zero bit-flip;1
tw;vfscanf.c;271;0.7036635875701904;0-25;Zero bit-flip;1
startp;strtod_l.c;504;14.814851522445679;0-25;Zero bit-flip;1
startp;strtod_l.c;504;3.2847776412963867;0-25;Zero bit-flip;1
startp;strtod_l.c;504;8.029404878616333;0-25;Zero bit-flip;1
bits;strtod_l.c;499;6.107211589813232;0-25;Zero bit-flip;1
decimal_len;strtod_l.c;522;5.537933826446533;0-25;Zero bit-flip;1
decimal_len;strtod_l.c;522;3.6432034969329834;0-25;Zero bit-flip;1
tw;vfscanf.c;271;14.730937004089355;0-25;Zero bit-flip;1
decimal_len;strtod_l.c;522;4.919103622436523;0-25;Zero bit-flip;1
decimal_len;strtod_l.c;522;1.6707303524017334;0-25;Zero bit-flip;1
tw;vfscanf.c;271;8.360535383224487;0-25;Zero bit-flip;1
tw;vfscanf.c;271;2.017566442489624;0-25;Zero bit-flip;1
decimal_len;strtod_l.c;522;2.555880069732666;0-25;Zero bit-flip;1
decimal_len;strtod_l.c;522;8.746454238891602;0-25;Zero bit-flip;1
endptr;strtod_l.c;480;10.181756258010864;0-25;Zero bit-flip;1
decimal_len;strtod_l.c;522;2.2866084575653076;0-25;Zero bit-flip;1
wpmax;vfscanf.c;273;5.123536825180054;0-25;Zero bit-flip;0
tw;vfscanf.c;271;24.17908525466919;0-25;LSB bit-flip;1
bits;strtod_l.c;499;5.8316099643707275;0-25;LSB bit-flip;1
startp;strtod_l.c;504;2.9446403980255127;0-25;LSB bit-flip;1
negative;vfscanf.c;232;11.478536605834961;0-25;LSB bit-flip;1
start_of_digits;strtod_l.c;504;2.58852481842041;0-25;LSB bit-flip;1
endptr;strtod_l.c;480;6.548842668533325;0-25;LSB bit-flip;1
start_of_digits;strtod_l.c;504;9.900104284286499;0-25;LSB bit-flip;1
tw;vfscanf.c;271;0.618046760559082;0-25;LSB bit-flip;1
exponent;strtod_l.c;486;2.3549280166625977;0-25;LSB bit-flip;1
bits;strtod_l.c;499;8.13693356513977;0-25;LSB bit-flip;1
tw;vfscanf.c;271;8.223236560821533;0-25;LSB bit-flip;1
tw;vfscanf.c;271;11.311277389526367;0-25;LSB bit-flip;1
exponent;strtod_l.c;486;10.997593641281128;0-25;LSB bit-flip;1
exponent;strtod_l.c;486;3.915301561355591;0-25;LSB bit-flip;1
exponent;strtod_l.c;486;9.662497997283936;0-25;LSB bit-flip;1
endptr;strtod_l.c;480;7.7071757316589355;0-25;LSB bit-flip;1
num;strtod_l.c;485;9.129614353179932;0-25;LSB bit-flip;0
tw;vfscanf.c;271;0.6150450706481934;0-25;Single bit-flip;1
exponent;strtod_l.c;486;1.6628241539001465;0-25;Single bit-flip;1
exponent;strtod_l.c;486;13.99187421798706;0-25;Single bit-flip;1
exponent;strtod_l.c;486;11.14112114906311;0-25;Single bit-flip;1
exponent;strtod_l.c;486;4.631354093551636;0-25;Single bit-flip;1
startp;strtod_l.c;504;13.775169610977173;0-25;Single bit-flip;1
tw;vfscanf.c;271;0.8162102699279785;0-25;Single bit-flip;1
tw;vfscanf.c;271;7.856488466262817;0-25;Single bit-flip;1
startp;strtod_l.c;504;2.905839204788208;0-25;Single bit-flip;1
tw;vfscanf.c;271;5.675089359283447;0-25;Single bit-flip;1
exponent;strtod_l.c;486;1.8039629459381104;0-25;Single bit-flip;1
bits;strtod_l.c;499;9.0906240940094;0-25;Single bit-flip;1
tw;vfscanf.c;271;14.216543197631836;0-25;Single bit-flip;1
exponent;strtod_l.c;486;10.176098823547363;0-25;Single bit-flip;1
start_of_digits;strtod_l.c;504;5.450420618057251;0-25;Single bit-flip;1
exponent;strtod_l.c;486;2.635223865509033;0-25;Single bit-flip;1
arg;isoc99_fscanf.c;27;5.8322179317474365;0-25;Single bit-flip;0
arg;isoc99_fscanf.c;27;2.566416025161743;0-25;Single bit-flip;0
tw;vfscanf.c;271;5.96380352973938;0-25;Single bit-flip;0
num;strtod_l.c;485;4.596692323684692;0-25;Single bit-flip;0
den;strtod_l.c;494;1.2157251834869385;0-25;Double bit-flip;1
tw;vfscanf.c;271;12.26462459564209;0-25;Double bit-flip;1
start_of_digits;strtod_l.c;504;4.228883504867554;0-25;Double bit-flip;1
tw;vfscanf.c;271;9.156623840332031;0-25;Double bit-flip;1
flags;vfscanf.c;222;5.028397798538208;0-25;Double bit-flip;1
startp;strtod_l.c;504;13.665658235549927;0-25;Double bit-flip;1
bits;strtod_l.c;499;7.009540557861328;0-25;Double bit-flip;1
exponent;strtod_l.c;486;15.384668827056885;0-25;Double bit-flip;1
endptr;strtod_l.c;480;6.571480989456177;0-25;Double bit-flip;1
tw;vfscanf.c;271;1.1650691032409668;0-25;Double bit-flip;1
exponent;strtod_l.c;486;17.37770438194275;0-25;Double bit-flip;1
p2;../sysdeps/ieee754/dbl-64/uexp.h;61;5.989355564117432;0-25;Double bit-flip;1
tw;vfscanf.c;271;12.197863101959229;0-25;Double bit-flip;1
exponent;strtod_l.c;486;20.071621656417847;0-25;Double bit-flip;1
exponent;strtod_l.c;486;1.5943799018859863;0-25;Double bit-flip;1
tw;vfscanf.c;271;8.194453477859497;0-25;Double bit-flip;1
start_of_digits;strtod_l.c;504;0.3625352382659912;0-25;Double bit-flip;1
exponent;strtod_l.c;486;1.1490859985351562;0-25;Double bit-flip;1
tw;vfscanf.c;271;3.449037790298462;0-25;Double bit-flip;1
arg;isoc99_fscanf.c;27;5.41708517074585;4-8;Double bit-flip;0
_buffer;vfscanf.c;358;3.865962266921997;0-25;Double bit-flip;0
tw;vfscanf.c;271;8.38363003730774;0-25;Double bit-flip;0
startp;strtod_l.c;504;4.95188570022583;0-25;Double bit-flip;0
