Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
isBinaryFile;kmeans.c;265;8.554526567459106;0-55;Random bit-flip
i;kmeans_clustering.c;105;10.904148817062378;0-55;Random bit-flip
pts;kmeans_clustering.c;80;18.93269944190979;0-55;Random bit-flip
clusters;kmeans_clustering.c;127;3.898714065551758;0-55;Random bit-flip
npoints;kmeans_clustering.c;118;4.9391703605651855;0-55;Random bit-flip
cluster_centres;kmeans.c;108;14.448225021362305;0-55;Random bit-flip
cluster_centres;cluster.c;83;10.690153360366821;0-55;Random bit-flip
tmp_cluster_centres;cluster.c;88;21.36648440361023;0-55;Random bit-flip
num_omp_threads;kmeans.c;86;8.781926393508911;0-55;Random bit-flip
pts;kmeans_clustering.c;80;3.3778738975524902;0-55;Random bit-flip
clusters;kmeans_clustering.c;127;21.64592742919922;0-55;Random bit-flip
cluster_centres;kmeans.c;108;2.7913460731506348;0-55;Random bit-flip
filename;kmeans.c;262;8.56202507019043;0-55;Random bit-flip
tid;kmeans_clustering.c;186;0.961890459060669;0-55;Random bit-flip
nfeatures;kmeans_clustering.c;117;22.81466794013977;0-55;Random bit-flip
out_filename;kmeans.c;263;14.811936616897583;0-55;Random bit-flip
i;kmeans_clustering.c;124;14.056007385253906;0-55;Random bit-flip
cluster_centres;kmeans.c;108;18.373892307281494;0-55;Random bit-flip
filename;kmeans.c;103;4.06322717666626;0-55;Random bit-flip
feature;kmeans_clustering.c;116;4.321019172668457;0-55;Random bit-flip
filename;kmeans.c;103;21.45643639564514;0-55;Random bit-flip
nclusters;kmeans_clustering.c;119;40.608272314071655;0-55;Random bit-flip
nthreads;kmeans_clustering.c;132;3.4496822357177734;0-55;Random bit-flip
nfeatures;kmeans_clustering.c;117;34.09099817276001;0-55;Random bit-flip
partial_new_centers;kmeans_clustering.c;134;27.845271110534668;0-55;Random bit-flip
numdims;kmeans_clustering.c;103;17.018623113632202;0-55;Random bit-flip
npts;kmeans_clustering.c;81;14.418914556503296;0-55;Random bit-flip
