Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
i;kmeans.c;111;18.98228120803833;0-55;Random bit-flip
nloops;kmeans.c;110;3.449268102645874;0-55;Random bit-flip
nclusters;kmeans.c;261;19.336677312850952;0-55;Random bit-flip
i;kmeans.c;111;5.19570255279541;0-55;Random bit-flip
i;kmeans.c;111;13.231495380401611;0-55;Random bit-flip
i;kmeans.c;111;6.482891321182251;0-55;Random bit-flip
nclusters;kmeans.c;261;0.7517337799072266;0-55;Random bit-flip
num_omp_threads;kmeans.c;86;28.076711416244507;0-55;Random bit-flip
nloops;kmeans.c;110;19.260852813720703;0-55;Random bit-flip
i;kmeans.c;111;8.989393472671509;0-55;Random bit-flip
i;kmeans.c;111;40.286561489105225;0-55;Random bit-flip
nclusters;kmeans.c;261;10.608621597290039;0-55;Random bit-flip
nloops;kmeans.c;110;11.888065576553345;0-55;Random bit-flip
nloops;kmeans.c;110;12.95582890510559;0-55;Random bit-flip
nclusters;kmeans.c;261;10.328593015670776;0-55;Random bit-flip
nloops;kmeans.c;110;21.083626985549927;0-55;Random bit-flip
nfeatures;kmeans_clustering.c;117;22.78116488456726;0-55;Double bit-flip
num_omp_threads;kmeans.c;86;28.9400737285614;0-55;Double bit-flip
nclusters;kmeans.c;261;4.892312526702881;0-55;Double bit-flip
nloops;kmeans.c;110;18.256940126419067;0-55;Double bit-flip
nloops;kmeans.c;110;1.5901663303375244;0-55;Double bit-flip
num_omp_threads;kmeans.c;86;6.15316104888916;0-55;Double bit-flip
num_omp_threads;kmeans.c;86;7.788092613220215;0-55;Double bit-flip
nclusters;kmeans.c;103;5.31781268119812;0-55;Double bit-flip
tmp_cluster_centres;cluster.c;88;18.60753560066223;0-55;Double bit-flip
num_omp_threads;kmeans.c;86;22.41985297203064;0-55;Double bit-flip
nfeatures;kmeans_clustering.c;117;10.061420440673828;0-55;Double bit-flip
nloops;kmeans.c;110;0.7651028633117676;0-55;Double bit-flip
isBinaryFile;kmeans.c;265;1.5023043155670166;0-55;Double bit-flip
nloops;kmeans.c;110;11.306127071380615;0-55;Double bit-flip
