Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
new_centers_len;kmeans_clustering.c;125;20.135379791259766;0-55;Random bit-flip;1
nclusters;kmeans_clustering.c;119;3.803162097930908;0-55;Random bit-flip;1
attributes;kmeans.c;106;12.9811851978302;0-55;Random bit-flip;1
i;kmeans_clustering.c;83;4.295561790466309;0-55;Random bit-flip;1
nclusters;kmeans_clustering.c;119;6.289506912231445;0-55;Random bit-flip;1
loop;kmeans_clustering.c;124;28.174532175064087;0-55;Random bit-flip;1
clusters;kmeans_clustering.c;127;6.231232643127441;0-55;Random bit-flip;1
npts;kmeans_clustering.c;81;16.734728813171387;0-55;Random bit-flip;1
numdims;kmeans_clustering.c;103;9.244032382965088;0-55;Random bit-flip;1
pt;kmeans_clustering.c;78;43.90515995025635;0-55;Random bit-flip;1
pt2;kmeans_clustering.c;102;34.495604038238525;0-55;Random bit-flip;1
partial_new_centers;kmeans_clustering.c;134;45.899768590927124;0-55;Random bit-flip;1
nfeatures;kmeans_clustering.c;79;17.899521350860596;0-55;Random bit-flip;1
delta;kmeans_clustering.c;128;16.85051441192627;0-55;Random bit-flip;1
pt2;kmeans_clustering.c;102;5.730254888534546;0-55;Random bit-flip;1
nclusters;kmeans_clustering.c;119;32.04752564430237;0-55;Random bit-flip;1
clusters;kmeans_clustering.c;127;12.314371585845947;0-55;Random bit-flip;1
loop;kmeans_clustering.c;124;32.668092012405396;0-55;Random bit-flip;1
min_dist;kmeans_clustering.c;84;1.512213945388794;0-55;Random bit-flip;1
pt1;kmeans_clustering.c;101;34.92843770980835;0-55;Random bit-flip;1
npts;kmeans_clustering.c;81;17.897172689437866;0-55;Random bit-flip;1
pt1;kmeans_clustering.c;101;10.062804937362671;0-55;Random bit-flip;1
ans;kmeans_clustering.c;106;5.127030849456787;0-55;Random bit-flip;1
ans;kmeans_clustering.c;106;21.446703672409058;0-55;Random bit-flip;1
pt2;kmeans_clustering.c;102;28.544342517852783;0-55;Random bit-flip;1
nfeatures;kmeans_clustering.c;117;7.488916635513306;0-55;Random bit-flip;1
attributes;kmeans.c;106;5.607153654098511;0-55;Random bit-flip;1
numdims;kmeans_clustering.c;103;10.015799522399902;0-55;Random bit-flip;1
pt1;kmeans_clustering.c;101;20.792535305023193;0-55;Random bit-flip;1
partial_new_centers;kmeans_clustering.c;134;6.029791355133057;0-55;Random bit-flip;1
ans;kmeans_clustering.c;106;22.202642679214478;0-55;Random bit-flip;1
pt2;kmeans_clustering.c;102;29.405681848526;0-55;Random bit-flip;1
pt2;kmeans_clustering.c;102;3.280052661895752;0-55;Random bit-flip;1
npts;kmeans_clustering.c;81;17.940000772476196;0-55;Random bit-flip;1
threshold;kmeans.c;266;0.3541264533996582;0-55;Random bit-flip;1
ans;kmeans_clustering.c;106;26.335736513137817;0-55;Random bit-flip;1
npoints;kmeans_clustering.c;118;12.799922943115234;0-55;Random bit-flip;1
ans;kmeans_clustering.c;106;1.7133708000183105;0-55;Random bit-flip;1
pt1;kmeans_clustering.c;101;1.9308891296386719;0-55;Random bit-flip;1
attributes;kmeans.c;106;3.7278590202331543;0-55;Random bit-flip;1
pts;kmeans_clustering.c;80;5.839760780334473;0-55;Random bit-flip;1
pt1;kmeans_clustering.c;101;4.2175188064575195;0-55;Random bit-flip;1
pt2;kmeans_clustering.c;102;46.590407371520996;0-55;Random bit-flip;1
pt2;kmeans_clustering.c;102;6.1130149364471436;0-55;Random bit-flip;1
loop;kmeans_clustering.c;124;4.469828367233276;0-55;Random bit-flip;1
attributes;cluster.c;80;5.248373031616211;0-55;Random bit-flip;1
ans;kmeans_clustering.c;106;4.263836622238159;0-55;Random bit-flip;1
clusters;kmeans_clustering.c;127;9.845301389694214;0-55;Random bit-flip;1
delta;kmeans_clustering.c;128;4.825694799423218;0-55;Random bit-flip;1
min_dist;kmeans_clustering.c;84;45.04737567901611;0-55;Random bit-flip;1
nthreads;kmeans_clustering.c;132;22.097042322158813;0-55;Random bit-flip;1
ans;kmeans_clustering.c;106;0.9654765129089355;0-55;Random bit-flip;1
attributes;cluster.c;80;1.9449121952056885;0-55;Random bit-flip;1
pt;kmeans_clustering.c;78;2.880709409713745;0-55;Random bit-flip;1
nclusters;kmeans_clustering.c;119;27.08417272567749;0-55;Random bit-flip;1
i;kmeans_clustering.c;105;40.0404326915741;0-55;Random bit-flip;1
nclusters;kmeans_clustering.c;119;3.0248348712921143;0-55;Random bit-flip;1
loop;kmeans_clustering.c;124;11.620938301086426;0-55;Random bit-flip;1
nfeatures;kmeans_clustering.c;117;19.5322265625;0-55;Random bit-flip;1
pts;kmeans_clustering.c;80;0.9398961067199707;0-55;Random bit-flip;1
new_centers_len;kmeans_clustering.c;125;24.291974544525146;0-55;Random bit-flip;1
clusters;kmeans_clustering.c;127;9.22143840789795;0-55;Random bit-flip;1
nthreads;kmeans_clustering.c;132;8.674960136413574;0-55;Random bit-flip;1
feature;kmeans_clustering.c;116;4.024487495422363;0-55;Random bit-flip;1
ans;kmeans_clustering.c;106;19.653181076049805;0-55;Random bit-flip;1
npoints;kmeans_clustering.c;118;26.596734762191772;0-55;Random bit-flip;1
delta;kmeans_clustering.c;128;30.274911642074585;0-55;Random bit-flip;1
pt1;kmeans_clustering.c;101;3.0611300468444824;0-55;Random bit-flip;1
nfeatures;kmeans_clustering.c;117;7.298706531524658;0-55;Random bit-flip;1
pt;kmeans_clustering.c;78;28.92070960998535;0-55;Random bit-flip;1
loop;kmeans_clustering.c;124;33.809788942337036;0-55;Random bit-flip;1
ans;kmeans_clustering.c;106;23.99886679649353;0-55;Random bit-flip;1
ans;kmeans_clustering.c;106;7.76526141166687;0-55;Random bit-flip;1
ans;kmeans_clustering.c;106;22.019989728927612;0-55;Random bit-flip;1
pt1;kmeans_clustering.c;101;4.798833131790161;0-55;Random bit-flip;1
numdims;kmeans_clustering.c;103;14.014526128768921;0-55;Random bit-flip;1
npts;kmeans_clustering.c;81;19.3469979763031;0-55;Random bit-flip;1
threshold;kmeans_clustering.c;120;9.487569570541382;0-55;Random bit-flip;1
pt2;kmeans_clustering.c;102;4.7930614948272705;0-55;Random bit-flip;1
pt;kmeans_clustering.c;78;9.359719038009644;0-55;Random bit-flip;1
partial_new_centers_len;kmeans_clustering.c;133;24.446084022521973;0-55;Random bit-flip;1
loop;kmeans_clustering.c;124;11.927670955657959;0-55;Random bit-flip;1
nclusters;kmeans_clustering.c;119;1.7834761142730713;0-55;Random bit-flip;1
pt1;kmeans_clustering.c;101;32.10763669013977;0-55;Random bit-flip;1
ans;kmeans_clustering.c;106;8.695840120315552;0-55;Random bit-flip;1
ans;kmeans_clustering.c;106;1.5035245418548584;0-55;Random bit-flip;1
min_dist;kmeans_clustering.c;84;41.91728234291077;0-55;Random bit-flip;1
attributes;kmeans.c;106;2.3327081203460693;0-55;Random bit-flip;1
nclusters;kmeans_clustering.c;119;5.222266912460327;0-55;Random bit-flip;1
clusters;kmeans_clustering.c;127;20.34013080596924;0-55;Random bit-flip;1
nclusters;kmeans_clustering.c;119;34.061036348342896;0-55;Random bit-flip;1
numdims;kmeans_clustering.c;103;35.85339593887329;0-55;Random bit-flip;1
loop;kmeans_clustering.c;124;2.580822706222534;0-55;Random bit-flip;1
nfeatures;kmeans_clustering.c;79;9.964670419692993;0-55;Random bit-flip;1
pt1;kmeans_clustering.c;101;9.012825727462769;0-55;Random bit-flip;1
pts;kmeans_clustering.c;80;24.723087549209595;0-55;Random bit-flip;1
pt1;kmeans_clustering.c;101;18.639246940612793;0-55;Random bit-flip;1
partial_new_centers;kmeans_clustering.c;134;15.633880376815796;0-55;Random bit-flip;1
attributes;cluster.c;80;3.115795612335205;0-55;Random bit-flip;1
numdims;kmeans_clustering.c;103;33.22408318519592;0-55;Random bit-flip;1
nfeatures;kmeans_clustering.c;117;36.64230418205261;0-55;Random bit-flip;1
delta;kmeans_clustering.c;128;20.813652276992798;0-55;Random bit-flip;1
clusters;kmeans_clustering.c;127;14.847161293029785;0-55;Random bit-flip;1
attributes;kmeans.c;106;18.29097032546997;0-55;Random bit-flip;1
