Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
partial_new_centers;kmeans_clustering.c;139;44.13717770576477;42-55;Zero bit-flip
partial_new_centers;kmeans_clustering.c;139;42.40542006492615;42-55;Zero bit-flip
attributes_dup;cluster.c;82;46.43089509010315;42-55;Zero bit-flip
new_centers;kmeans_clustering.c;131;43.880332708358765;42-55;Zero bit-flip
pt1;kmeans_clustering.c;101;48.242141246795654;42-55;Zero bit-flip
cluster_centres_dup;cluster.c;87;42.24986004829407;42-55;Zero bit-flip
pt1;kmeans_clustering.c;101;48.33517384529114;42-55;Zero bit-flip
partial_new_centers;kmeans_clustering.c;139;43.82134652137756;42-55;Zero bit-flip
new_centers;kmeans_clustering.c;131;46.411174297332764;42-55;Zero bit-flip
new_centers;kmeans_clustering.c;131;46.186474084854126;42-55;Zero bit-flip
partial_new_centers_len_dup;kmeans_clustering.c;138;42.68453621864319;42-55;Zero bit-flip
pt2;kmeans_clustering.c;102;47.64408087730408;42-55;Zero bit-flip
partial_new_centers_len;kmeans_clustering.c;138;48.65038180351257;42-55;Zero bit-flip
pt2;kmeans_clustering.c;102;52.19774055480957;42-55;Zero bit-flip
attributes_dup;cluster.c;82;47.5763418674469;42-55;Zero bit-flip
new_centers_len;kmeans_clustering.c;130;44.490357875823975;42-55;Zero bit-flip
out_filename;kmeans.c;155;43.192731857299805;42-55;Zero bit-flip
partial_new_centers_dup;kmeans_clustering.c;139;46.54198169708252;42-55;Zero bit-flip
pt2;kmeans_clustering.c;102;51.224162578582764;42-55;Zero bit-flip
cluster_centres_dup;cluster.c;87;43.12460494041443;42-55;Zero bit-flip
pt1;kmeans_clustering.c;101;44.922279834747314;42-55;Zero bit-flip
pt2;kmeans_clustering.c;102;45.62555813789368;42-55;Zero bit-flip
partial_new_centers_dup;kmeans_clustering.c;139;42.84840965270996;42-55;Zero bit-flip
membership;kmeans_clustering.c;124;43.42486095428467;42-55;Zero bit-flip
cluster_centres_dup;cluster.c;87;46.775800466537476;42-55;Zero bit-flip
clusters;kmeans_clustering.c;132;45.86954045295715;42-55;Zero bit-flip
pts;kmeans_clustering.c;80;48.388596296310425;42-55;Zero bit-flip
cluster_centres;cluster.c;86;48.14244484901428;42-55;Zero bit-flip
cluster_centres;cluster.c;86;46.59127378463745;42-55;Zero bit-flip
