Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
loop;kmeans_clustering.c;129;42.65280342102051;42-55;Zero bit-flip
loop;kmeans_clustering.c;129;47.5013587474823;42-55;Zero bit-flip
loop;kmeans_clustering.c;129;50.43211555480957;42-55;Zero bit-flip
loop;kmeans_clustering.c;129;49.84590697288513;42-55;Zero bit-flip
loop;kmeans_clustering.c;129;43.32624292373657;42-55;Zero bit-flip
loop;kmeans_clustering.c;129;42.46688222885132;42-55;Zero bit-flip
loop;kmeans_clustering.c;129;47.726306200027466;42-55;Zero bit-flip
loop;kmeans_clustering.c;129;48.210232973098755;42-55;Zero bit-flip
loop;kmeans_clustering.c;129;42.989996910095215;42-55;Zero bit-flip
loop;kmeans_clustering.c;129;44.13384675979614;42-55;Zero bit-flip
loop;kmeans_clustering.c;129;45.696489095687866;42-55;Zero bit-flip
loop;kmeans_clustering.c;129;16.815498113632202;14-27;Double bit-flip
nfeatures_dup;kmeans_clustering.c;119;15.997554302215576;14-27;Double bit-flip
num_omp_threads;kmeans.c;86;14.267104148864746;14-27;Double bit-flip
num_omp_threads;kmeans.c;86;20.866347074508667;14-27;Double bit-flip
num_omp_threads;kmeans.c;86;14.776645421981812;14-27;Double bit-flip
nfeatures_dup;kmeans_clustering.c;119;15.113059043884277;14-27;Double bit-flip
num_omp_threads;kmeans.c;86;21.36408281326294;14-27;Double bit-flip
nfeatures_dup;kmeans_clustering.c;119;18.639991283416748;14-27;Double bit-flip
nfeatures;kmeans_clustering.c;118;16.601847648620605;14-27;Double bit-flip
nfeatures;kmeans_clustering.c;118;22.923793077468872;14-27;Double bit-flip
nloops;kmeans.c;206;17.721283674240112;14-27;Double bit-flip
nloops;kmeans.c;206;20.877355098724365;14-27;Double bit-flip
nfeatures;kmeans_clustering.c;118;15.530104637145996;14-27;Double bit-flip
nloops;kmeans.c;206;19.172576665878296;14-27;Double bit-flip
num_omp_threads;kmeans.c;86;14.91079831123352;14-27;Double bit-flip
nloops;kmeans.c;206;21.32329821586609;14-27;Double bit-flip
nloops;kmeans.c;206;15.29840874671936;14-27;Double bit-flip
nfeatures_dup;kmeans_clustering.c;119;15.372825145721436;14-27;Double bit-flip
i;kmeans.c;207;29.468729734420776;28-41;Random bit-flip
nloops;kmeans.c;206;35.11399173736572;28-41;Random bit-flip
loop_dup;kmeans_clustering.c;129;28.654972314834595;28-41;Random bit-flip
loop;kmeans_clustering.c;129;34.79787993431091;28-41;Random bit-flip
nloops;kmeans.c;206;28.89908003807068;28-41;Random bit-flip
nloops;kmeans.c;206;33.444072246551514;28-41;Random bit-flip
loop;kmeans_clustering.c;129;34.2168390750885;28-41;Random bit-flip
i;kmeans.c;207;29.30623698234558;28-41;Random bit-flip
i;kmeans.c;207;30.687395095825195;28-41;Random bit-flip
loop;kmeans_clustering.c;129;29.371381044387817;28-41;Random bit-flip
nloops;kmeans.c;206;35.06200909614563;28-41;Random bit-flip
i;kmeans.c;207;59.65661883354187;56-65;LSB bit-flip
nloops;kmeans.c;206;58.212326526641846;56-65;LSB bit-flip
num_omp_threads;kmeans.c;86;58.90802574157715;56-65;LSB bit-flip
nloops;kmeans.c;206;58.230239391326904;56-65;LSB bit-flip
num_omp_threads;kmeans.c;86;59.045047998428345;56-65;LSB bit-flip
loop_dup;kmeans_clustering.c;129;59.640663146972656;56-65;LSB bit-flip
nloops;kmeans.c;206;59.03386402130127;56-65;LSB bit-flip
