Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
npts;kmeans_clustering.c;81;47.86464166641235;42-55;Zero bit-flip;1
j;kmeans_clustering.c;129;43.75407791137695;42-55;Zero bit-flip;1
pt2;kmeans_clustering.c;102;46.9321448802948;42-55;Zero bit-flip;1
nclusters_dup;kmeans_clustering.c;122;43.274059772491455;42-55;Zero bit-flip;1
partial_new_centers_len;kmeans_clustering.c;138;42.30244994163513;42-55;Zero bit-flip;1
npoints;kmeans_clustering.c;120;46.3596887588501;42-55;Zero bit-flip;1
nfeatures;kmeans_clustering.c;118;43.68664836883545;42-55;Zero bit-flip;1
i;kmeans_clustering.c;129;42.52131986618042;42-55;Zero bit-flip;1
attributes;cluster.c;81;48.37407064437866;42-55;Zero bit-flip;1
nclusters;kmeans_clustering.c;121;44.70335626602173;42-55;Zero bit-flip;1
pt;kmeans_clustering.c;78;45.31646728515625;42-55;Zero bit-flip;1
nclusters;kmeans_clustering.c;121;46.00944209098816;42-55;Zero bit-flip;1
nfeatures;kmeans_clustering.c;118;47.2816424369812;42-55;Zero bit-flip;1
pt2;kmeans_clustering.c;102;43.21921443939209;42-55;Zero bit-flip;1
partial_new_centers_len;kmeans_clustering.c;138;47.77372121810913;42-55;Zero bit-flip;1
numdims;kmeans_clustering.c;103;44.30912494659424;42-55;Zero bit-flip;1
pt1;kmeans_clustering.c;101;45.469594955444336;42-55;Zero bit-flip;1
nfeatures;kmeans_clustering.c;118;51.61283850669861;42-55;Zero bit-flip;1
index;kmeans_clustering.c;83;48.37967491149902;42-55;Zero bit-flip;1
nthreads;kmeans_clustering.c;137;47.30984282493591;42-55;Zero bit-flip;1
pt1;kmeans_clustering.c;101;44.26158332824707;42-55;Zero bit-flip;1
ans;kmeans_clustering.c;106;43.65276002883911;42-55;Zero bit-flip;1
numdims;kmeans_clustering.c;103;53.30858778953552;42-55;Zero bit-flip;1
feature_dup;kmeans_clustering.c;117;50.703967571258545;42-55;Zero bit-flip;1
numdims;kmeans_clustering.c;103;42.7431206703186;42-55;Zero bit-flip;1
attributes;cluster.c;81;48.54652523994446;42-55;Zero bit-flip;1
nfeatures;kmeans_clustering.c;118;42.948630571365356;42-55;Zero bit-flip;1
nfeatures;kmeans_clustering.c;118;44.01031827926636;42-55;Zero bit-flip;1
i;kmeans_clustering.c;105;49.606924295425415;42-55;Zero bit-flip;1
partial_new_centers_len;kmeans_clustering.c;138;45.810375452041626;42-55;Zero bit-flip;1
nfeatures;kmeans_clustering.c;118;45.660743951797485;42-55;Zero bit-flip;1
nclusters;kmeans_clustering.c;121;47.711676597595215;42-55;Zero bit-flip;1
j;kmeans_clustering.c;129;46.998169898986816;42-55;Zero bit-flip;1
numdims;kmeans_clustering.c;103;47.56261396408081;42-55;Zero bit-flip;1
nclusters;kmeans_clustering.c;121;42.752344608306885;42-55;Zero bit-flip;1
min_dist;kmeans_clustering.c;84;48.32839560508728;42-55;Zero bit-flip;1
nfeatures;kmeans_clustering.c;118;42.86600065231323;42-55;Zero bit-flip;1
clusters;kmeans_clustering.c;132;45.48592710494995;42-55;Zero bit-flip;1
