Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
k;nn.c;177;0.885859966278;0-2;Double bit-flip
k;nn.c;177;1.47534799576;0-2;Double bit-flip
k;nn.c;177;0.488140106201;0-2;Double bit-flip
k;nn.c;177;1.10337495804;0-2;Double bit-flip
flist;nn.c;32;2.07724905014;0-2;Double bit-flip
k;nn.c;177;0.578722953796;0-2;Double bit-flip
k;nn.c;177;1.18040394783;0-2;Double bit-flip
flist;nn.c;32;0.776751995087;0-2;Double bit-flip
k;nn.c;177;1.15666389465;0-2;Double bit-flip
k;nn.c;177;1.22066092491;0-2;Double bit-flip
k;nn.c;177;0.974250078201;0-2;Double bit-flip
fp;nn.c;32;1.83716392517;0-2;Double bit-flip
filename;nn.c;179;1.5293200016;0-2;Double bit-flip
filename;nn.c;179;1.674243927;0-2;Double bit-flip
gold_filename;nn.c;179;1.05074691772;0-2;Double bit-flip
filename;nn.c;179;1.10859203339;0-2;Double bit-flip
fp;nn.c;32;1.17781710625;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.978538036346;0-2;Double bit-flip
filename;nn.c;179;1.9313158989;0-2;Double bit-flip
flist;nn.c;32;0.669644117355;0-2;Double bit-flip
_dl_argv_internal;rtld.c;86;0.824335098267;0-2;Double bit-flip
filename;nn.c;179;1.02294707298;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.524343967438;0-2;Double bit-flip
neighbors;nn.c;34;0.346200942993;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.918068885803;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1541;0.554454088211;0-2;Double bit-flip
flist;nn.c;32;0.749479055405;0-2;Double bit-flip
filename;nn.c;179;1.49677205086;0-2;Double bit-flip
filename;nn.c;28;0.456438064575;0-2;Double bit-flip
filename;nn.c;179;1.36278700829;0-2;Double bit-flip
filename;nn.c;179;0.849847078323;0-2;Double bit-flip
neighbors;nn.c;34;0.953414916992;0-2;Double bit-flip
_rtld_local;rtld.c;240;0.574341058731;0-2;Double bit-flip
k;nn.c;28;1.14869189262;0-2;Double bit-flip
filename;nn.c;179;1.46999597549;0-2;Double bit-flip
_dl_skip_args;rtld.c;84;0.65425491333;0-2;Double bit-flip
gold_filename;nn.c;179;1.24758410454;0-2;Double bit-flip
gold_filename;nn.c;179;0.802234888077;0-2;Double bit-flip
flist;nn.c;32;0.710311889648;0-2;Double bit-flip
filename;nn.c;179;0.982650995255;0-2;Double bit-flip
k;nn.c;28;1.08438611031;0-2;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.421765089035;0-2;Double bit-flip
gold_filename;nn.c;179;1.25672507286;0-2;Double bit-flip
flist;nn.c;32;0.727169036865;0-2;Double bit-flip
