Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
k;nn.c;177;1.37454104424;0-2;Double bit-flip
k;nn.c;177;2.16694998741;0-2;Double bit-flip
k;nn.c;177;1.31544399261;0-2;Double bit-flip
k;nn.c;177;1.4148209095;0-2;Double bit-flip
k;nn.c;177;0.48055100441;0-2;Double bit-flip
k;nn.c;177;1.60980606079;0-2;Double bit-flip
k;nn.c;177;0.969995975494;0-2;Double bit-flip
k;nn.c;177;1.48829007149;0-2;Double bit-flip
k;nn.c;177;0.697500944138;0-2;Double bit-flip
k;nn.c;177;0.758845090866;0-2;Double bit-flip
k;nn.c;177;0.8179500103;0-2;Double bit-flip
k;nn.c;177;1.08122301102;0-2;Double bit-flip
k;nn.c;177;1.62699604034;0-2;Double bit-flip
k;nn.c;177;1.86820197105;0-2;Double bit-flip
k;nn.c;177;0.515501976013;0-2;Double bit-flip
k;nn.c;177;0.580094099045;0-2;Double bit-flip
k;nn.c;177;1.5544989109;0-2;Double bit-flip
k;nn.c;177;0.876368045807;0-2;Double bit-flip
k;nn.c;177;1.33337807655;0-2;Double bit-flip
k;nn.c;177;1.18800997734;0-2;Double bit-flip
k;nn.c;177;0.972645998001;0-2;Double bit-flip
target_long;nn.c;178;1.50927805901;0-2;Double bit-flip
k;nn.c;177;1.2325398922;0-2;Double bit-flip
k;nn.c;177;1.07138490677;0-2;Double bit-flip
k;nn.c;177;1.45611000061;0-2;Double bit-flip
k;nn.c;177;1.26931190491;0-2;Double bit-flip
k;nn.c;177;0.659368038177;0-2;Double bit-flip
k;nn.c;177;1.97188591957;0-2;Double bit-flip
k;nn.c;177;0.696120023727;0-2;Double bit-flip
k;nn.c;177;1.35657811165;0-2;Double bit-flip
k;nn.c;177;1.46750688553;0-2;Double bit-flip
k;nn.c;177;0.875168085098;0-2;Double bit-flip
k;nn.c;177;1.77662205696;0-2;Double bit-flip
k;nn.c;177;1.15845608711;0-2;Double bit-flip
k;nn.c;177;1.75635910034;0-2;Double bit-flip
k;nn.c;177;0.676805019379;0-2;Double bit-flip
k;nn.c;28;0.755774974823;0-2;Double bit-flip
k;nn.c;177;2.21128988266;0-2;Double bit-flip
k;nn.c;177;1.35030198097;0-2;Double bit-flip
k;nn.c;177;1.31224989891;0-2;Double bit-flip
k;nn.c;177;1.35723495483;0-2;Double bit-flip
k;nn.c;177;1.7812230587;0-2;Double bit-flip
k;nn.c;177;0.910634040833;0-2;Double bit-flip
