Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
target_lat;nn.c;178;1.69815802574;0-2;Double bit-flip;1
target_lat;nn.c;178;1.01525688171;0-2;Double bit-flip;1
target_lat;nn.c;178;1.2253279686;0-2;Double bit-flip;1
target_lat;nn.c;178;0.414938926697;0-2;Double bit-flip;1
done;nn.c;31;0.729106903076;0-2;Double bit-flip;1
target_lat;nn.c;178;0.95684504509;0-2;Double bit-flip;1
k;nn.c;177;0.700612068176;0-2;Double bit-flip;1
target_long;nn.c;178;1.10466909409;0-2;Double bit-flip;1
done;nn.c;31;1.22234010696;0-2;Double bit-flip;1
target_lat;nn.c;178;1.46021294594;0-2;Double bit-flip;1
target_lat;nn.c;178;1.92381000519;0-2;Double bit-flip;1
target_long;nn.c;178;1.9436070919;0-2;Double bit-flip;1
done;nn.c;31;1.67281794548;0-2;Double bit-flip;1
target_lat;nn.c;178;0.860508918762;0-2;Double bit-flip;1
target_long;nn.c;178;1.17661499977;0-2;Double bit-flip;1
done;nn.c;31;1.05882501602;0-2;Double bit-flip;1
target_long;nn.c;178;1.52858710289;0-2;Double bit-flip;1
target_lat;nn.c;178;1.27727103233;0-2;Double bit-flip;1
target_long;nn.c;178;0.406851053238;0-2;Double bit-flip;1
target_lat;nn.c;28;0.94980096817;0-2;Double bit-flip;1
target_lat;nn.c;178;1.57809090614;0-2;Double bit-flip;1
target_lat;nn.c;178;1.65926408768;0-2;Double bit-flip;1
target_lat;nn.c;178;0.605459928513;0-2;Double bit-flip;1
target_long;nn.c;178;1.02582788467;0-2;Double bit-flip;1
done;nn.c;31;1.73655509949;0-2;Double bit-flip;1
target_long;nn.c;178;1.17233705521;0-2;Double bit-flip;1
target_long;nn.c;178;1.4648270607;0-2;Double bit-flip;1
target_lat;nn.c;178;1.28006911278;0-2;Double bit-flip;1
target_long;nn.c;178;0.539086103439;0-2;Double bit-flip;1
target_lat;nn.c;178;1.00755906105;0-2;Double bit-flip;1
target_long;nn.c;178;0.995682001114;0-2;Double bit-flip;1
target_lat;nn.c;178;1.86959409714;0-2;Double bit-flip;1
target_lat;nn.c;178;0.637109994888;0-2;Double bit-flip;1
neighbors;nn.c;34;0.885927915573;0-2;Double bit-flip;1
k;nn.c;177;0.631983995438;0-2;Double bit-flip;1
done;nn.c;31;0.743232965469;0-2;Double bit-flip;1
target_lat;nn.c;178;1.86883592606;0-2;Double bit-flip;1
target_long;nn.c;178;2.42493796349;0-2;Double bit-flip;1
target_lat;nn.c;178;0.892262935638;0-2;Double bit-flip;1
target_lat;nn.c;178;1.5442070961;0-2;Double bit-flip;1
target_long;nn.c;178;1.13150191307;0-2;Double bit-flip;1
target_lat;nn.c;178;1.20076298714;0-2;Double bit-flip;1
target_lat;nn.c;178;1.8526558876;0-2;Double bit-flip;1
done;nn.c;31;0.908618927002;0-2;Double bit-flip;1
target_long;nn.c;178;1.43195295334;0-2;Double bit-flip;1
target_long;nn.c;178;1.22958993912;0-2;Double bit-flip;1
k;nn.c;177;1.31035399437;0-2;Double bit-flip;1
