Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
flist;nn.c;83;0.7462337017059326;0-1;Random bit-flip
__pointer_chk_guard_local;rtld.c;96;0.8297832012176514;0-1;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6652905941009521;0-1;Random bit-flip
_dl_skip_args;rtld.c;84;0.8463184833526611;0-1;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0094902515411377;0-1;Random bit-flip
_dl_skip_args;rtld.c;84;0.9118633270263672;0-1;Random bit-flip
flist;nn.c;83;0.8548307418823242;0-1;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.2957441806793213;0-1;Random bit-flip
audit_list;rtld.c;142;0.7443039417266846;0-1;Random bit-flip
audit_list;rtld.c;142;0.3809390068054199;0-1;Random bit-flip
_dl_skip_args;rtld.c;84;1.063859462738037;0-1;Random bit-flip
relocate_time;rtld.c;306;0.42530202865600586;0-1;Random bit-flip
any_debug;rtld.c;2322;1.2010090351104736;0-1;Random bit-flip
audit_list;rtld.c;142;0.9154458045959473;0-1;Random bit-flip
any_debug;rtld.c;2322;0.9318597316741943;0-1;Random bit-flip
_rtld_global_ro;rtld.c;259;0.3927946090698242;0-1;Random bit-flip
_dl_argc;rtld.c;82;0.6273455619812012;0-1;Random bit-flip
load_time;rtld.c;307;1.0467853546142578;0-1;Random bit-flip
library_path;rtld.c;823;0.2301175594329834;0-1;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.3275473117828369;0-1;Random bit-flip
_dl_skip_args;rtld.c;84;1.0477113723754883;0-1;Random bit-flip
library_path;rtld.c;823;0.6321055889129639;0-1;Random bit-flip
_dl_rtld_libname;rtld.c;301;0.4429938793182373;0-1;Random bit-flip
any_debug;rtld.c;2322;1.216637372970581;0-1;Random bit-flip
_dl_rtld_libname;rtld.c;301;0.6651346683502197;0-1;Random bit-flip
_dl_rtld_libname2;rtld.c;302;0.9548888206481934;0-1;Random bit-flip
audit_list_string;rtld.c;134;0.6462578773498535;0-1;Random bit-flip
library_path;rtld.c;823;0.7990832328796387;0-1;Random bit-flip
__GI__dl_argv;rtld.c;83;0.970228910446167;0-1;Random bit-flip
version_info;rtld.c;827;0.9136745929718018;0-1;Random bit-flip
_dl_skip_args;rtld.c;84;0.2906157970428467;0-1;Random bit-flip
preloadlist;rtld.c;825;0.4932849407196045;0-1;Random bit-flip
relocate_time;rtld.c;306;0.7805471420288086;0-1;Random bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;0.7428607940673828;0-1;Random bit-flip
preloadlist;rtld.c;825;0.7024266719818115;0-1;Random bit-flip
preloadlist;rtld.c;825;1.1538946628570557;0-1;Random bit-flip
_dl_skip_args;rtld.c;84;0.9509992599487305;0-1;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.5271260738372803;0-1;Random bit-flip
version_info;rtld.c;827;0.5486235618591309;0-1;Random bit-flip
__pointer_chk_guard_local;rtld.c;96;0.6924083232879639;0-1;Random bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;0.7511687278747559;0-1;Random bit-flip
__GI__dl_argv;rtld.c;83;0.8103976249694824;0-1;Random bit-flip
relocate_time;rtld.c;306;0.929671049118042;0-1;Random bit-flip
audit_list_string;rtld.c;134;0.5666165351867676;0-1;Random bit-flip
audit_list_string;rtld.c;134;0.30112481117248535;0-1;Random bit-flip
__GI__dl_argv;rtld.c;83;0.9533967971801758;0-1;Random bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;0.6390469074249268;0-1;Random bit-flip
__pointer_chk_guard_local;rtld.c;96;1.1774935722351074;0-1;Random bit-flip
_dl_skip_args;rtld.c;84;1.1907250881195068;0-1;Random bit-flip
audit_list_string;rtld.c;134;0.557816743850708;0-1;Random bit-flip
__PRETTY_FUNCTION__;rtld.c;0;1.098149061203003;0-1;Random bit-flip
_dl_skip_args;rtld.c;84;0.8592493534088135;0-1;Random bit-flip
_dl_skip_args;rtld.c;84;0.8581192493438721;0-1;Random bit-flip
start_time;rtld.c;308;1.1622209548950195;0-1;Random bit-flip
tls_init_tp_called;rtld.c;677;0.8265235424041748;0-1;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8987624645233154;0-1;Random bit-flip
_dl_skip_args;rtld.c;84;0.9586939811706543;0-1;Random bit-flip
relocate_time;rtld.c;306;0.23337078094482422;0-1;Random bit-flip
tls_init_tp_called;rtld.c;677;0.46534037590026855;0-1;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6547017097473145;0-1;Random bit-flip
_rtld_global;rtld.c;231;0.6291158199310303;0-1;Random bit-flip
_dl_skip_args;rtld.c;84;0.6215000152587891;0-1;Random bit-flip
version_info;rtld.c;827;0.9610655307769775;0-1;Random bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;1.1020383834838867;0-1;Random bit-flip
__pointer_chk_guard_local;rtld.c;96;0.9304671287536621;0-1;Random bit-flip
_dl_skip_args;rtld.c;84;0.7477090358734131;0-1;Random bit-flip
load_time;rtld.c;307;0.7586836814880371;0-1;Random bit-flip
load_time;rtld.c;307;0.3637733459472656;0-1;Random bit-flip
__GI__dl_argv;rtld.c;83;0.5808627605438232;0-1;Random bit-flip
_dl_rtld_libname;rtld.c;301;0.8936874866485596;0-1;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.5785825252532959;0-1;Random bit-flip
_rtld_global_ro;rtld.c;259;0.7282559871673584;0-1;Random bit-flip
__GI__dl_argv;rtld.c;83;0.6854348182678223;0-1;Random bit-flip
audit_list;rtld.c;142;0.6721940040588379;0-1;Random bit-flip
__GI__dl_argv;rtld.c;83;1.189765453338623;0-1;Random bit-flip
z_dup;nn.c;157;0.957056999206543;0-1;Random bit-flip
any_debug;rtld.c;2322;0.9407684803009033;0-1;Random bit-flip
__GI__dl_argv;rtld.c;83;1.210667371749878;0-1;Random bit-flip
