Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
gold_filename;nn.c;88;0.6260693073272705;0-1;Random bit-flip
j;nn.c;84;0.8942880630493164;0-1;Random bit-flip
z;nn.c;153;0.8143031597137451;0-1;Random bit-flip
z;nn.c;153;1.246126413345337;0-1;Random bit-flip
done;nn.c;84;1.3321945667266846;0-1;Random bit-flip
gold_filename;nn.c;88;0.8802435398101807;0-1;Random bit-flip
neighbors_dup;nn.c;94;0.8925518989562988;0-1;Random bit-flip
flist;nn.c;83;0.790053129196167;0-1;Random bit-flip
fp;nn.c;83;0.8242552280426025;0-1;Random bit-flip
k;nn.c;84;1.149409294128418;0-1;Random bit-flip
preload_file;rtld.c;1630;0.6799650192260742;0-1;Random bit-flip
neighbors_dup;nn.c;94;0.749884843826294;0-1;Random bit-flip
tls_init_tp_called;rtld.c;677;0.6483707427978516;0-1;Random bit-flip
_dl_argc;rtld.c;82;0.5415465831756592;0-1;Random bit-flip
fp;nn.c;83;0.3371620178222656;0-1;Random bit-flip
_dl_rtld_libname2;rtld.c;302;0.8098320960998535;0-1;Random bit-flip
neighbors;nn.c;86;0.8092794418334961;0-1;Random bit-flip
_dl_rtld_libname;rtld.c;301;0.4316215515136719;0-1;Random bit-flip
z;nn.c;153;0.41685986518859863;0-1;Random bit-flip
k_dup;nn.c;93;1.0780060291290283;0-1;Random bit-flip
target_long;nn.c;87;0.6477396488189697;0-1;Random bit-flip
flist;nn.c;83;0.6592040061950684;0-1;Random bit-flip
flist;nn.c;83;1.119412899017334;0-1;Random bit-flip
neighbors_dup;nn.c;94;1.07834792137146;0-1;Random bit-flip
gold_filename;nn.c;88;1.2329726219177246;0-1;Random bit-flip
_rtld_global_ro;rtld.c;259;0.3254566192626953;0-1;Random bit-flip
fp;nn.c;83;0.6762039661407471;0-1;Random bit-flip
z;nn.c;153;0.5580973625183105;0-1;Random bit-flip
gold_filename;nn.c;88;1.3514337539672852;0-1;Random bit-flip
z_dup;nn.c;157;1.284973382949829;0-1;Random bit-flip
neighbors_dup;nn.c;94;0.6027312278747559;0-1;Random bit-flip
version_info;rtld.c;827;1.369924545288086;0-1;Random bit-flip
fp;nn.c;83;1.1336274147033691;0-1;Random bit-flip
rec_count;nn.c;84;1.0749270915985107;0-1;Random bit-flip
k_dup;nn.c;93;1.1247799396514893;0-1;Random bit-flip
i;nn.c;84;1.261152744293213;0-1;Random bit-flip
rec_count;nn.c;84;1.4327044486999512;0-1;Random bit-flip
neighbors;nn.c;86;1.1532831192016602;0-1;Random bit-flip
fp;nn.c;83;0.7135012149810791;0-1;Random bit-flip
argc;nn.c;82;1.4461708068847656;0-1;Random bit-flip
fp;nn.c;83;0.8609917163848877;0-1;Random bit-flip
gold_filename;nn.c;88;1.196955680847168;0-1;Random bit-flip
k;nn.c;84;1.380361557006836;0-1;Random bit-flip
gold_filename;nn.c;88;0.7816910743713379;0-1;Random bit-flip
neighbors;nn.c;86;0.6753952503204346;0-1;Random bit-flip
gold_filename;nn.c;88;0.6848223209381104;0-1;Random bit-flip
fp;nn.c;83;0.6561431884765625;0-1;Random bit-flip
z;nn.c;153;1.4123961925506592;0-1;Random bit-flip
