Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
k;nn.c;84;0.39655375480651855;0-1;Random bit-flip
k;nn.c;84;0.7779903411865234;0-1;Random bit-flip
rec_count;nn.c;84;1.25799560546875;0-1;Random bit-flip
k;nn.c;84;1.6740052700042725;0-1;Random bit-flip
k;nn.c;84;0.35737156867980957;0-1;Random bit-flip
fp;nn.c;83;0.5919556617736816;0-1;Random bit-flip
k;nn.c;84;1.2281785011291504;0-1;Random bit-flip
k;nn.c;84;0.8171660900115967;0-1;Random bit-flip
neighbors;nn.c;86;1.2708497047424316;0-1;Random bit-flip
neighbors;nn.c;86;0.6955122947692871;0-1;Random bit-flip
k;nn.c;84;0.6718008518218994;0-1;Random bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;60;0.7440969944000244;0-1;Random bit-flip
k;nn.c;84;0.8816540241241455;0-1;Random bit-flip
k;nn.c;84;1.3947114944458008;0-1;Random bit-flip
k;nn.c;84;0.9675688743591309;0-1;Random bit-flip
neighbors;nn.c;86;0.605022668838501;0-1;Random bit-flip
k;nn.c;84;0.8297309875488281;0-1;Random bit-flip
neighbors;nn.c;86;0.9338369369506836;0-1;Random bit-flip
k;nn.c;84;0.7813615798950195;0-1;Random bit-flip
k;nn.c;84;0.7832987308502197;0-1;Random bit-flip
k;nn.c;84;0.9056606292724609;0-1;Random bit-flip
k;nn.c;84;0.8545153141021729;0-1;Random bit-flip
k;nn.c;84;0.6750960350036621;0-1;Random bit-flip
k;nn.c;84;0.8759491443634033;0-1;Random bit-flip
neighbors;nn.c;86;1.0535845756530762;0-1;Random bit-flip
k;nn.c;84;0.9059324264526367;0-1;Random bit-flip
k;nn.c;84;1.0841991901397705;0-1;Random bit-flip
k;nn.c;84;0.8972337245941162;0-1;Random bit-flip
target_lat_dup;nn.c;92;1.3410418033599854;0-1;Random bit-flip
target_long;nn.c;87;0.7766308784484863;0-1;Random bit-flip
target_long_dup;nn.c;92;1.2388780117034912;0-1;Random bit-flip
target_long_dup;nn.c;92;0.8999969959259033;0-1;Random bit-flip
