Faults Injected:;9278

Fault Effect;#Effect;PVF
Masked;5191;0.559495580944169
SDCs;657;0.0708126751455055
Crashes;2619;0.28228066393619317
Hangs;811;0.08741107997413236

FaultModels SDCs:
FaultModel ;#SDCs;percentage
Zero bit-flip;197;29.98477929984779
Random bit-flip;191;29.071537290715373
LSB bit-flip;146;22.22222222222222
Double bit-flip;123;18.72146118721461

FaultModels Crashes:
FaultModel ;#Crashes;percentage
LSB bit-flip;724;27.64413898434517
Double bit-flip;656;25.047728140511644
Random bit-flip;655;25.00954562810233
Zero bit-flip;584;22.298587247040853

FaultModels Hangs:
FaultModel ;#Hangs;percentage
LSB bit-flip;239;29.469790382244142
Double bit-flip;211;26.017262638717632
Random bit-flip;207;25.524044389642413
Zero bit-flip;154;18.988902589395806

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
99.24812030075188;133;132;target_lat;nn.c;87
84.72222222222221;144;122;target_lat_dup;nn.c;92
90.37037037037037;135;122;target_long_dup;nn.c;92
94.01709401709401;117;110;target_long;nn.c;87
45.925925925925924;135;62;k;nn.c;84
31.57894736842105;133;42;neighbors_dup;nn.c;94
34.90566037735849;106;37;neighbors;nn.c;86
15.384615384615385;130;20;z;nn.c;153
4.0;125;5;rec_count;nn.c;84
2.5423728813559325;118;3;fp;nn.c;83
0.2808988764044944;356;1;__libc_multiple_libcs;../elf/dl-sysdep.c;60
0.3703703703703704;270;1;library_path;rtld.c;823

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
100.0;344;344;user_entry;../elf/dl-sysdep.c;91
82.06896551724138;290;238;_dl_skip_args;rtld.c;84
49.83050847457628;295;147;__GI__dl_argv;rtld.c;83
52.72727272727272;275;145;_dl_rtld_libname;rtld.c;301
35.294117647058826;340;120;__GI___libc_enable_secure;../elf/dl-sysdep.c;58
40.74074074074074;270;110;_rtld_global;rtld.c;231
30.0561797752809;356;107;__libc_multiple_libcs;../elf/dl-sysdep.c;60
36.206896551724135;290;105;_rtld_global_ro;rtld.c;259
37.72893772893773;273;103;relocate_time;rtld.c;306
35.1063829787234;282;99;audit_list;rtld.c;142
35.37906137184115;277;98;tls_init_tp_called;rtld.c;677
35.7429718875502;249;89;__pointer_chk_guard_local;rtld.c;96
32.592592592592595;270;88;library_path;rtld.c;823
30.742049469964666;283;87;audit_list_string;rtld.c;134
33.33333333333333;258;86;start_time;rtld.c;308
32.945736434108525;258;85;preloadlist;rtld.c;825
