Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
z;nn.c;153;0.8143031597137451;0-1;Random bit-flip
z;nn.c;153;1.246126413345337;0-1;Random bit-flip
neighbors_dup;nn.c;94;0.8925518989562988;0-1;Random bit-flip
neighbors_dup;nn.c;94;0.749884843826294;0-1;Random bit-flip
fp;nn.c;83;0.3371620178222656;0-1;Random bit-flip
neighbors;nn.c;86;0.8092794418334961;0-1;Random bit-flip
z;nn.c;153;0.41685986518859863;0-1;Random bit-flip
k_dup;nn.c;93;1.0780060291290283;0-1;Random bit-flip
flist;nn.c;83;0.6592040061950684;0-1;Random bit-flip
neighbors_dup;nn.c;94;1.07834792137146;0-1;Random bit-flip
fp;nn.c;83;0.6762039661407471;0-1;Random bit-flip
z;nn.c;153;0.5580973625183105;0-1;Random bit-flip
gold_filename;nn.c;88;1.3514337539672852;0-1;Random bit-flip
z_dup;nn.c;157;1.284973382949829;0-1;Random bit-flip
k_dup;nn.c;93;1.1247799396514893;0-1;Random bit-flip
neighbors;nn.c;86;1.1532831192016602;0-1;Random bit-flip
fp;nn.c;83;0.7135012149810791;0-1;Random bit-flip
fp;nn.c;83;0.8609917163848877;0-1;Random bit-flip
fp;nn.c;83;0.6561431884765625;0-1;Random bit-flip
z;nn.c;153;1.4123961925506592;0-1;Random bit-flip
k;nn.c;84;0.7188661098480225;0-1;Random bit-flip
gold_filename;nn.c;88;0.7322540283203125;0-1;Random bit-flip
fp;nn.c;83;0.538651704788208;0-1;Random bit-flip
gold_filename;nn.c;88;0.6812059879302979;0-1;Random bit-flip
rec_count;nn.c;84;1.1201884746551514;0-1;Random bit-flip
k_dup;nn.c;93;0.7998712062835693;0-1;Random bit-flip
rec_count;nn.c;84;0.7166900634765625;0-1;Random bit-flip
neighbors_dup;nn.c;94;0.8224256038665771;0-1;Random bit-flip
k;nn.c;84;0.8158705234527588;0-1;Random bit-flip
k_dup;nn.c;93;0.6964242458343506;0-1;Random bit-flip
gold_filename;nn.c;88;0.841515064239502;0-1;Random bit-flip
z_dup;nn.c;157;1.2340373992919922;0-1;Random bit-flip
gold_filename;nn.c;88;0.4496269226074219;0-1;Random bit-flip
gold_filename;nn.c;88;0.9811813831329346;0-1;Random bit-flip
neighbors;nn.c;86;0.8338556289672852;0-1;Random bit-flip
z_dup;nn.c;157;1.1601958274841309;0-1;Random bit-flip
k_dup;nn.c;93;1.2652933597564697;0-1;Random bit-flip
k;nn.c;84;0.7922115325927734;0-1;Random bit-flip
fp;nn.c;83;0.5362317562103271;0-1;Random bit-flip
neighbors_dup;nn.c;94;0.8455440998077393;0-1;Random bit-flip
gold_filename;nn.c;88;0.3810110092163086;0-1;Random bit-flip
k_dup;nn.c;93;1.2082667350769043;0-1;Random bit-flip
z;nn.c;153;1.4466164112091064;0-1;Random bit-flip
flist;nn.c;83;0.7062337398529053;0-1;Random bit-flip
flist;nn.c;83;0.3985767364501953;0-1;Random bit-flip
fp;nn.c;83;0.8691985607147217;0-1;Random bit-flip
z_dup;nn.c;157;0.8497686386108398;0-1;Random bit-flip
fp;nn.c;83;1.2606232166290283;0-1;Random bit-flip
neighbors;nn.c;86;1.217667818069458;0-1;Random bit-flip
gold_filename;nn.c;88;0.59157395362854;0-1;Random bit-flip
k_dup;nn.c;93;1.099524974822998;0-1;Random bit-flip
gold_filename;nn.c;88;0.7500882148742676;0-1;Random bit-flip
fp;nn.c;83;1.0975141525268555;0-1;Random bit-flip
rec_count;nn.c;84;0.6413824558258057;0-1;Random bit-flip
gold_filename;nn.c;88;0.9105901718139648;0-1;Random bit-flip
z_dup;nn.c;157;0.6678357124328613;0-1;Random bit-flip
fp;nn.c;83;1.2286584377288818;0-1;Random bit-flip
flist;nn.c;83;1.1567091941833496;0-1;Random bit-flip
z;nn.c;153;1.0565357208251953;0-1;Random bit-flip
z;nn.c;153;1.1647202968597412;0-1;Random bit-flip
flist;nn.c;83;0.7140419483184814;0-1;Random bit-flip
rec_count;nn.c;84;0.7374820709228516;0-1;Random bit-flip
neighbors;nn.c;86;0.5457677841186523;0-1;Random bit-flip
flist;nn.c;83;0.7176682949066162;0-1;Random bit-flip
target_long;nn.c;87;1.1443896293640137;0-1;Random bit-flip
z;nn.c;153;0.7349817752838135;0-1;Random bit-flip
gold_filename;nn.c;88;1.0931434631347656;0-1;Random bit-flip
neighbors;nn.c;86;0.7330977916717529;0-1;Random bit-flip
fp;nn.c;83;1.0846953392028809;0-1;Random bit-flip
flist;nn.c;83;0.8357641696929932;0-1;Random bit-flip
rec_count;nn.c;84;0.6532039642333984;0-1;Random bit-flip
k_dup;nn.c;93;0.7589125633239746;0-1;Random bit-flip
rec_count;nn.c;84;0.9299187660217285;0-1;Random bit-flip
gold_filename;nn.c;88;0.5746994018554688;0-1;Random bit-flip
k_dup;nn.c;93;1.1019601821899414;0-1;Random bit-flip
k_dup;nn.c;93;0.8267345428466797;0-1;Random bit-flip
fp;nn.c;83;0.5633957386016846;0-1;Random bit-flip
gold_filename;nn.c;88;0.5213804244995117;0-1;Random bit-flip
k_dup;nn.c;93;0.6128575801849365;0-1;Random bit-flip
k_dup;nn.c;93;0.7793300151824951;0-1;Random bit-flip
thread_arena;arena.c;74;0.9867868423461914;0-1;Random bit-flip
fp;nn.c;83;1.1890301704406738;0-1;Random bit-flip
z_dup;nn.c;157;1.1957616806030273;0-1;Random bit-flip
neighbors_dup;nn.c;94;0.5765626430511475;0-1;Random bit-flip
neighbors;nn.c;86;1.2848515510559082;0-1;Random bit-flip
neighbors_dup;nn.c;94;0.7296881675720215;0-1;Random bit-flip
k;nn.c;84;1.124551773071289;0-1;Random bit-flip
k_dup;nn.c;93;0.5537447929382324;0-1;Random bit-flip
neighbors;nn.c;86;0.8488004207611084;0-1;Random bit-flip
rec_count;nn.c;84;1.6023070812225342;0-1;Random bit-flip
flist;nn.c;83;0.6182200908660889;0-1;Random bit-flip
z_dup;nn.c;157;0.3896455764770508;0-1;Zero bit-flip
fp;nn.c;83;0.9015777111053467;0-1;Zero bit-flip
neighbors_dup;nn.c;94;0.8213253021240234;0-1;Zero bit-flip
neighbors_dup;nn.c;94;0.8772125244140625;0-1;Zero bit-flip
flist;nn.c;83;0.7807002067565918;0-1;Zero bit-flip
neighbors_dup;nn.c;94;0.48278069496154785;0-1;Zero bit-flip
fp;nn.c;83;0.6433944702148438;0-1;Zero bit-flip
z;nn.c;153;0.6146814823150635;0-1;Zero bit-flip
neighbors;nn.c;86;0.5897555351257324;0-1;Zero bit-flip
z_dup;nn.c;157;1.6474969387054443;0-1;Zero bit-flip
neighbors;nn.c;86;0.6878941059112549;0-1;Zero bit-flip
neighbors_dup;nn.c;94;1.011960744857788;0-1;Zero bit-flip
fp;nn.c;83;0.8445429801940918;0-1;Zero bit-flip
neighbors;nn.c;86;0.8862760066986084;0-1;Zero bit-flip
fp;nn.c;83;0.9828372001647949;0-1;Zero bit-flip
fp;nn.c;83;0.50539231300354;0-1;Zero bit-flip
gold_filename;nn.c;88;1.3075635433197021;0-1;Zero bit-flip
neighbors_dup;nn.c;94;0.6235136985778809;0-1;Zero bit-flip
gold_filename;nn.c;88;1.371687650680542;0-1;Zero bit-flip
gold_filename;nn.c;88;0.7637395858764648;0-1;Zero bit-flip
fp;nn.c;83;0.820845365524292;0-1;Zero bit-flip
gold_filename;nn.c;88;0.7073850631713867;0-1;Zero bit-flip
fp;nn.c;83;1.0866014957427979;0-1;Zero bit-flip
fp;nn.c;83;0.7083766460418701;0-1;Zero bit-flip
flist;nn.c;83;1.2515950202941895;0-1;Zero bit-flip
gold_filename;nn.c;88;0.7632269859313965;0-1;Zero bit-flip
neighbors_dup;nn.c;94;0.7530021667480469;0-1;Zero bit-flip
gold_filename;nn.c;88;0.9389524459838867;0-1;Zero bit-flip
gold_filename;nn.c;88;0.46294450759887695;0-1;Zero bit-flip
fp;nn.c;83;0.837615966796875;0-1;Zero bit-flip
neighbors;nn.c;86;0.8174331188201904;0-1;Zero bit-flip
z_dup;nn.c;157;1.0233497619628906;0-1;Zero bit-flip
neighbors_dup;nn.c;94;0.9764153957366943;0-1;Zero bit-flip
gold_filename;nn.c;88;0.947551965713501;0-1;Zero bit-flip
_IO_file_jumps_mmap;fileops.c;1480;0.649693489074707;0-1;Zero bit-flip
z_dup;nn.c;157;1.315859317779541;0-1;Zero bit-flip
flist;nn.c;83;1.0652523040771484;0-1;Zero bit-flip
neighbors;nn.c;86;0.7807979583740234;0-1;Zero bit-flip
target_lat;nn.c;87;1.383774757385254;0-1;Zero bit-flip
