Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
k;nn.c;84;0.39655375480651855;0-1;Random bit-flip
k;nn.c;84;0.35737156867980957;0-1;Random bit-flip
neighbors;nn.c;86;1.2708497047424316;0-1;Random bit-flip
neighbors;nn.c;86;0.6955122947692871;0-1;Random bit-flip
k;nn.c;84;0.6718008518218994;0-1;Random bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;60;0.7440969944000244;0-1;Random bit-flip
k;nn.c;84;1.3947114944458008;0-1;Random bit-flip
k;nn.c;84;0.9675688743591309;0-1;Random bit-flip
k;nn.c;84;0.8297309875488281;0-1;Random bit-flip
k;nn.c;84;0.7832987308502197;0-1;Random bit-flip
k;nn.c;84;0.9056606292724609;0-1;Random bit-flip
k;nn.c;84;0.6750960350036621;0-1;Random bit-flip
k;nn.c;84;0.8759491443634033;0-1;Random bit-flip
target_lat_dup;nn.c;92;1.3410418033599854;0-1;Random bit-flip
target_long;nn.c;87;0.7766308784484863;0-1;Random bit-flip
neighbors_dup;nn.c;94;0.865581750869751;0-1;Random bit-flip
target_long;nn.c;87;0.7135732173919678;0-1;Random bit-flip
target_lat_dup;nn.c;92;0.6997935771942139;0-1;Random bit-flip
target_lat;nn.c;87;0.7633953094482422;0-1;Random bit-flip
target_lat;nn.c;87;0.6092469692230225;0-1;Random bit-flip
target_long_dup;nn.c;92;1.0519492626190186;0-1;Random bit-flip
target_lat_dup;nn.c;92;0.9787874221801758;0-1;Random bit-flip
target_lat;nn.c;87;0.6537492275238037;0-1;Random bit-flip
target_lat_dup;nn.c;92;0.6043956279754639;0-1;Random bit-flip
target_long;nn.c;87;0.5827586650848389;0-1;Random bit-flip
target_lat_dup;nn.c;92;0.6139416694641113;0-1;Random bit-flip
neighbors;nn.c;86;0.8840913772583008;0-1;Random bit-flip
target_long_dup;nn.c;92;0.7473015785217285;0-1;Random bit-flip
target_lat;nn.c;87;0.8048038482666016;0-1;Random bit-flip
target_long_dup;nn.c;92;0.7384579181671143;0-1;Random bit-flip
neighbors;nn.c;86;0.407520055770874;0-1;Random bit-flip
target_lat;nn.c;87;1.5860424041748047;0-1;Random bit-flip
neighbors_dup;nn.c;94;0.668067216873169;0-1;Random bit-flip
target_long;nn.c;87;1.0874927043914795;0-1;Random bit-flip
target_lat_dup;nn.c;92;0.9035966396331787;0-1;Random bit-flip
z;nn.c;153;0.6540708541870117;0-1;Random bit-flip
target_lat;nn.c;87;1.115859031677246;0-1;Random bit-flip
target_lat;nn.c;87;0.5930731296539307;0-1;Random bit-flip
target_long_dup;nn.c;92;1.2374625205993652;0-1;Random bit-flip
neighbors_dup;nn.c;94;0.44178032875061035;0-1;Random bit-flip
target_long_dup;nn.c;92;0.6444838047027588;0-1;Random bit-flip
target_long;nn.c;87;0.716465950012207;0-1;Random bit-flip
target_lat_dup;nn.c;92;0.37544727325439453;0-1;Random bit-flip
target_lat_dup;nn.c;92;1.2964177131652832;0-1;Random bit-flip
target_lat_dup;nn.c;92;1.101348876953125;0-1;Random bit-flip
target_lat_dup;nn.c;92;1.0689599514007568;0-1;Random bit-flip
target_lat_dup;nn.c;92;1.140423059463501;0-1;Random bit-flip
target_lat_dup;nn.c;92;1.1182997226715088;0-1;Random bit-flip
target_long_dup;nn.c;92;0.8703339099884033;0-1;Random bit-flip
target_long;nn.c;87;0.7265968322753906;0-1;Random bit-flip
target_long;nn.c;87;1.2093422412872314;0-1;Random bit-flip
target_lat_dup;nn.c;92;0.9486355781555176;0-1;Random bit-flip
target_long_dup;nn.c;92;1.1313273906707764;0-1;Random bit-flip
neighbors_dup;nn.c;94;0.5332345962524414;0-1;Random bit-flip
target_lat_dup;nn.c;92;0.5917782783508301;0-1;Random bit-flip
target_lat_dup;nn.c;92;0.4840579032897949;0-1;Random bit-flip
target_lat;nn.c;87;0.6692707538604736;0-1;Random bit-flip
target_long;nn.c;87;1.372276782989502;0-1;Random bit-flip
target_long_dup;nn.c;92;1.203643560409546;0-1;Random bit-flip
neighbors_dup;nn.c;94;0.8173284530639648;0-1;Random bit-flip
target_long_dup;nn.c;92;0.5556495189666748;0-1;Random bit-flip
target_lat;nn.c;87;1.0176641941070557;0-1;Random bit-flip
target_lat;nn.c;87;0.8250198364257812;0-1;Random bit-flip
neighbors;nn.c;86;1.0725603103637695;0-1;Random bit-flip
target_long_dup;nn.c;92;1.2129831314086914;0-1;Random bit-flip
target_long;nn.c;87;0.6321356296539307;0-1;Random bit-flip
target_long_dup;nn.c;92;0.523984432220459;0-1;Random bit-flip
target_lat;nn.c;87;0.7110679149627686;0-1;Random bit-flip
target_lat;nn.c;87;0.44034504890441895;0-1;Random bit-flip
target_long;nn.c;87;0.7733726501464844;0-1;Random bit-flip
target_lat;nn.c;87;0.977139949798584;0-1;Random bit-flip
target_long;nn.c;87;0.776207685470581;0-1;Random bit-flip
target_lat;nn.c;87;0.6721348762512207;0-1;Random bit-flip
target_long;nn.c;87;0.8214528560638428;0-1;Random bit-flip
target_lat_dup;nn.c;92;0.9037737846374512;0-1;Random bit-flip
target_long_dup;nn.c;92;1.1106245517730713;0-1;Random bit-flip
target_lat;nn.c;87;1.1082525253295898;0-1;Random bit-flip
target_lat_dup;nn.c;92;1.2316505908966064;0-1;Random bit-flip
target_lat;nn.c;87;0.87420654296875;0-1;Random bit-flip
target_lat;nn.c;87;0.6158032417297363;0-1;Random bit-flip
target_lat;nn.c;87;0.4930400848388672;0-1;Random bit-flip
target_lat_dup;nn.c;92;0.7563726902008057;0-1;Random bit-flip
target_lat_dup;nn.c;92;1.214827060699463;0-1;Random bit-flip
target_long;nn.c;87;1.2433702945709229;0-1;Random bit-flip
target_lat_dup;nn.c;92;1.218012809753418;0-1;Random bit-flip
target_lat;nn.c;87;0.9958176612854004;0-1;Random bit-flip
z;nn.c;153;0.9045107364654541;0-1;Random bit-flip
target_long_dup;nn.c;92;1.2722442150115967;0-1;Random bit-flip
target_lat_dup;nn.c;92;0.5116610527038574;0-1;Random bit-flip
target_long;nn.c;87;1.2237136363983154;0-1;Random bit-flip
target_long_dup;nn.c;92;0.9048416614532471;0-1;Random bit-flip
target_lat_dup;nn.c;92;0.5841934680938721;0-1;Random bit-flip
target_lat;nn.c;87;1.5217556953430176;0-1;Random bit-flip
target_lat;nn.c;87;0.7182457447052002;0-1;Random bit-flip
target_long_dup;nn.c;92;1.1353764533996582;0-1;Random bit-flip
target_lat_dup;nn.c;92;1.2764875888824463;0-1;Random bit-flip
target_lat;nn.c;87;0.5498337745666504;0-1;Random bit-flip
fp;nn.c;83;1.2821426391601562;0-1;Zero bit-flip
k;nn.c;84;1.0944607257843018;0-1;Zero bit-flip
k;nn.c;84;1.0803470611572266;0-1;Zero bit-flip
k;nn.c;84;1.3695523738861084;0-1;Zero bit-flip
k;nn.c;84;0.5606575012207031;0-1;Zero bit-flip
library_path;rtld.c;823;0.3183917999267578;0-1;Zero bit-flip
k;nn.c;84;0.9340460300445557;0-1;Zero bit-flip
k;nn.c;84;0.6629543304443359;0-1;Zero bit-flip
neighbors;nn.c;86;0.5859973430633545;0-1;Zero bit-flip
k;nn.c;84;1.1995255947113037;0-1;Zero bit-flip
k;nn.c;84;0.6765651702880859;0-1;Zero bit-flip
k;nn.c;84;1.2734556198120117;0-1;Zero bit-flip
k;nn.c;84;0.6261088848114014;0-1;Zero bit-flip
k;nn.c;84;0.7352907657623291;0-1;Zero bit-flip
k;nn.c;84;0.6406443119049072;0-1;Zero bit-flip
k;nn.c;84;0.9573495388031006;0-1;Zero bit-flip
target_lat;nn.c;87;0.5674939155578613;0-1;Zero bit-flip
target_long;nn.c;87;0.3752775192260742;0-1;Zero bit-flip
target_long;nn.c;87;0.5482518672943115;0-1;Zero bit-flip
target_long;nn.c;87;1.0259599685668945;0-1;Zero bit-flip
target_lat;nn.c;87;1.113558053970337;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.6242434978485107;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.9825794696807861;0-1;Zero bit-flip
target_long_dup;nn.c;92;1.4675350189208984;0-1;Zero bit-flip
target_long_dup;nn.c;92;1.3616998195648193;0-1;Zero bit-flip
target_long;nn.c;87;1.0724198818206787;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.6472625732421875;0-1;Zero bit-flip
target_long_dup;nn.c;92;1.3405466079711914;0-1;Zero bit-flip
target_lat;nn.c;87;1.248459815979004;0-1;Zero bit-flip
target_long;nn.c;87;0.8251111507415771;0-1;Zero bit-flip
target_long;nn.c;87;0.9450757503509521;0-1;Zero bit-flip
target_long_dup;nn.c;92;1.1080331802368164;0-1;Zero bit-flip
target_lat;nn.c;87;1.000709056854248;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.9215340614318848;0-1;Zero bit-flip
target_long;nn.c;87;0.6367497444152832;0-1;Zero bit-flip
target_long;nn.c;87;1.235168218612671;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.9197220802307129;0-1;Zero bit-flip
target_lat_dup;nn.c;92;1.3638801574707031;0-1;Zero bit-flip
target_lat_dup;nn.c;92;1.6431910991668701;0-1;Zero bit-flip
neighbors;nn.c;86;0.6150827407836914;0-1;Zero bit-flip
target_long_dup;nn.c;92;1.1193151473999023;0-1;Zero bit-flip
target_lat;nn.c;87;0.8919634819030762;0-1;Zero bit-flip
target_lat;nn.c;87;0.9276010990142822;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.5077493190765381;0-1;Zero bit-flip
target_long_dup;nn.c;92;0.8765854835510254;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.3070971965789795;0-1;Zero bit-flip
target_long_dup;nn.c;92;1.3245131969451904;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.976691484451294;0-1;Zero bit-flip
target_long;nn.c;87;1.3636512756347656;0-1;Zero bit-flip
target_long_dup;nn.c;92;0.69657301902771;0-1;Zero bit-flip
target_lat;nn.c;87;1.044910192489624;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.5802121162414551;0-1;Zero bit-flip
z;nn.c;153;0.7484426498413086;0-1;Zero bit-flip
target_long_dup;nn.c;92;0.7182254791259766;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.6995968818664551;0-1;Zero bit-flip
target_long_dup;nn.c;92;0.5580298900604248;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.56003737449646;0-1;Zero bit-flip
target_long;nn.c;87;0.8007502555847168;0-1;Zero bit-flip
target_lat_dup;nn.c;92;1.4851922988891602;0-1;Zero bit-flip
target_lat;nn.c;87;0.8672199249267578;0-1;Zero bit-flip
target_lat_dup;nn.c;92;1.141714334487915;0-1;Zero bit-flip
target_long_dup;nn.c;92;1.0360376834869385;0-1;Zero bit-flip
target_lat;nn.c;87;0.608795166015625;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.4270203113555908;0-1;Zero bit-flip
target_long_dup;nn.c;92;0.8603317737579346;0-1;Zero bit-flip
target_long_dup;nn.c;92;0.6707479953765869;0-1;Zero bit-flip
target_lat;nn.c;87;0.6319866180419922;0-1;Zero bit-flip
target_lat;nn.c;87;0.7628846168518066;0-1;Zero bit-flip
target_long_dup;nn.c;92;0.8362677097320557;0-1;Zero bit-flip
target_lat_dup;nn.c;92;1.1688308715820312;0-1;Zero bit-flip
target_long_dup;nn.c;92;0.5911707878112793;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.7166910171508789;0-1;Zero bit-flip
z;nn.c;153;1.1793410778045654;0-1;Zero bit-flip
target_lat_dup;nn.c;92;1.1569159030914307;0-1;Zero bit-flip
target_long_dup;nn.c;92;0.8854804039001465;0-1;Zero bit-flip
target_lat;nn.c;87;0.7270288467407227;0-1;Zero bit-flip
target_long;nn.c;87;1.1067306995391846;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.827641487121582;0-1;Zero bit-flip
neighbors;nn.c;86;1.4226148128509521;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.5824356079101562;0-1;Zero bit-flip
target_long_dup;nn.c;92;0.6912753582000732;0-1;Zero bit-flip
target_long;nn.c;87;0.29444384574890137;0-1;Zero bit-flip
target_lat;nn.c;87;1.301400899887085;0-1;Zero bit-flip
z;nn.c;153;0.580172061920166;0-1;Zero bit-flip
neighbors;nn.c;86;0.5598244667053223;0-1;Zero bit-flip
target_long_dup;nn.c;92;0.4855988025665283;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.6187422275543213;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.8484444618225098;0-1;Zero bit-flip
target_long_dup;nn.c;92;0.5344212055206299;0-1;Zero bit-flip
target_lat_dup;nn.c;92;0.5509979724884033;0-1;Zero bit-flip
target_lat;nn.c;87;0.5127100944519043;0-1;Zero bit-flip
target_long;nn.c;87;1.2312071323394775;0-1;Zero bit-flip
neighbors;nn.c;86;0.7593417167663574;0-1;LSB bit-flip
k;nn.c;84;0.8623635768890381;0-1;LSB bit-flip
k;nn.c;84;1.3176486492156982;0-1;LSB bit-flip
k;nn.c;84;1.0811402797698975;0-1;LSB bit-flip
neighbors;nn.c;86;1.0324444770812988;0-1;LSB bit-flip
fp;nn.c;83;1.076500415802002;0-1;LSB bit-flip
neighbors;nn.c;86;0.8617491722106934;0-1;LSB bit-flip
target_lat;nn.c;87;0.3429098129272461;0-1;LSB bit-flip
target_long_dup;nn.c;92;0.8908987045288086;0-1;LSB bit-flip
target_long_dup;nn.c;92;1.2609567642211914;0-1;LSB bit-flip
target_long;nn.c;87;1.4887347221374512;0-1;LSB bit-flip
target_long_dup;nn.c;92;0.27329134941101074;0-1;LSB bit-flip
target_lat_dup;nn.c;92;0.6468408107757568;0-1;LSB bit-flip
target_long;nn.c;87;0.784203052520752;0-1;LSB bit-flip
neighbors_dup;nn.c;94;0.5979206562042236;0-1;LSB bit-flip
neighbors_dup;nn.c;94;0.654594898223877;0-1;LSB bit-flip
target_long_dup;nn.c;92;0.7353060245513916;0-1;LSB bit-flip
neighbors_dup;nn.c;94;0.9914505481719971;0-1;LSB bit-flip
neighbors;nn.c;86;0.7906036376953125;0-1;LSB bit-flip
target_lat;nn.c;87;0.541114330291748;0-1;LSB bit-flip
target_long_dup;nn.c;92;0.7959179878234863;0-1;LSB bit-flip
neighbors_dup;nn.c;94;0.7572193145751953;0-1;LSB bit-flip
target_lat;nn.c;87;1.3748104572296143;0-1;LSB bit-flip
target_long_dup;nn.c;92;1.1124584674835205;0-1;LSB bit-flip
target_lat;nn.c;87;0.7758252620697021;0-1;LSB bit-flip
target_lat_dup;nn.c;92;1.462860345840454;0-1;LSB bit-flip
target_lat;nn.c;87;0.6076657772064209;0-1;LSB bit-flip
target_lat;nn.c;87;1.3032729625701904;0-1;LSB bit-flip
target_long;nn.c;87;0.9190831184387207;0-1;LSB bit-flip
target_lat;nn.c;87;1.1270363330841064;0-1;LSB bit-flip
target_long;nn.c;87;1.2521543502807617;0-1;LSB bit-flip
neighbors;nn.c;86;0.6710672378540039;0-1;LSB bit-flip
target_lat_dup;nn.c;92;0.41930246353149414;0-1;LSB bit-flip
target_lat_dup;nn.c;92;1.1940507888793945;0-1;LSB bit-flip
target_lat;nn.c;87;0.7528417110443115;0-1;LSB bit-flip
target_long_dup;nn.c;92;0.7262845039367676;0-1;LSB bit-flip
